movement_id,registration_number,from_location,to_location,departure_time,arrival_time,movement_status,scenario
MOV-000080,GJ01RM3413,ENTRY,Trichy,2026-09-22T08:41:00,2026-09-22T09:11:00,NORMAL,NORMAL
MOV-000081,AP5CG6320,ENTRY,Madurai,2026-09-22T07:44:00,2026-09-22T08:14:00,NORMAL,NORMAL
MOV-000082,PY036993,ENTRY,Vellore,2026-09-22T13:27:00,2026-09-22T13:57:00,NORMAL,NORMAL
MOV-000083,PY05A8339,ENTRY,Tirunelveli,2026-09-22T16:07:00,2026-09-22T16:37:00,NORMAL,NORMAL
MOV-000084,AS12S6951,ENTRY,Trichy,2026-09-22T08:28:00,2026-09-22T08:58:00,NORMAL,NORMAL
MOV-000085,WB02A03017,ENTRY,Thanjavur,2026-09-22T09:46:00,2026-09-22T10:16:00,NORMAL,NORMAL
MOV-000086,HR26DM2296,ENTRY,Vellore,2026-09-22T13:02:00,2026-09-22T13:32:00,NORMAL,NORMAL
MOV-000087,MH47N0712,ENTRY,Chennai,2026-09-22T18:02:00,2026-09-22T18:32:00,NORMAL,NORMAL
MOV-000088,OD02C2836,ENTRY,Thanjavur,2026-09-22T10:50:00,2026-09-22T11:20:00,NORMAL,NORMAL
MOV-000089,JK03A8042,ENTRY,Chennai,2026-09-22T09:31:00,2026-09-22T10:01:00,NORMAL,NORMAL
MOV-000090,UP78ED0449,ENTRY,Trichy,2026-09-22T07:32:00,2026-09-22T08:02:00,NORMAL,NORMAL
MOV-000091,JH10BV1496,ENTRY,Tirunelveli,2026-09-22T17:35:00,2026-09-22T18:05:00,NORMAL,NORMAL
MOV-000092,MH04HF5092,ENTRY,Tirunelveli,2026-09-22T08:26:00,2026-09-22T08:56:00,NORMAL,NORMAL
MOV-000093,DL1CS8739,ENTRY,Tirunelveli,2026-09-22T14:05:00,2026-09-22T14:35:00,NORMAL,NORMAL
MOV-000094,HP23A6365,ENTRY,Tirunelveli,2026-09-22T14:33:00,2026-09-22T15:03:00,NORMAL,NORMAL
MOV-000095,OD14B7432,ENTRY,Coimbatore,2026-09-22T07:53:00,2026-09-22T08:23:00,NORMAL,NORMAL
MOV-000096,ML10B4503,ENTRY,Coimbatore,2026-09-22T13:36:00,2026-09-22T14:06:00,NORMAL,NORMAL
MOV-000097,GA01E5947,ENTRY,Coimbatore,2026-09-22T15:32:00,2026-09-22T16:02:00,NORMAL,NORMAL
MOV-000098,AP2D4014,ENTRY,Chennai,2026-09-22T10:57:00,2026-09-22T11:27:00,NORMAL,NORMAL
MOV-000099,PB10EH0164,ENTRY,Tirunelveli,2026-09-22T13:45:00,2026-09-22T14:15:00,NORMAL,NORMAL
MOV-000100,ML1032811,ENTRY,Thanjavur,2026-09-22T11:40:00,2026-09-22T12:10:00,NORMAL,NORMAL
MOV-000101,GJ05JB6589,ENTRY,Trichy,2026-09-22T14:12:00,2026-09-22T14:42:00,NORMAL,NORMAL
MOV-000102,JK13C4452,ENTRY,Trichy,2026-09-22T12:41:00,2026-09-22T13:11:00,NORMAL,NORMAL
MOV-000103,JK127959,ENTRY,Coimbatore,2026-09-22T08:10:00,2026-09-22T08:40:00,NORMAL,NORMAL
MOV-000104,CG04H5060,ENTRY,Coimbatore,2026-09-22T13:00:00,2026-09-22T13:30:00,NORMAL,NORMAL
MOV-000105,WB06J9177,ENTRY,Madurai,2026-09-22T14:11:00,2026-09-22T14:41:00,NORMAL,NORMAL
MOV-000106,KA28M3589,ENTRY,Salem,2026-09-22T08:03:00,2026-09-22T08:33:00,NORMAL,NORMAL
MOV-000107,TS08EZ9463,ENTRY,Thanjavur,2026-09-22T18:35:00,2026-09-22T19:05:00,NORMAL,NORMAL
MOV-000108,DL8CAU6883,ENTRY,Tirunelveli,2026-09-22T09:26:00,2026-09-22T09:56:00,NORMAL,NORMAL
MOV-000109,WB02W9S3S,ENTRY,Trichy,2026-09-22T15:20:00,2026-09-22T15:50:00,NORMAL,NORMAL
MOV-000110,HR56B2626,ENTRY,Tirunelveli,2026-09-22T15:31:00,2026-09-22T16:01:00,NORMAL,NORMAL
MOV-000111,KL0BBJ5001,ENTRY,Thanjavur,2026-09-22T09:07:00,2026-09-22T09:37:00,NORMAL,NORMAL
MOV-000112,WB02X8795,ENTRY,Madurai,2026-09-22T11:20:00,2026-09-22T11:50:00,NORMAL,NORMAL
MOV-000113,AP16CH9545,ENTRY,Thanjavur,2026-09-22T10:59:00,2026-09-22T11:29:00,NORMAL,NORMAL
MOV-000114,AP39TP0211,ENTRY,Chennai,2026-09-22T08:44:00,2026-09-22T09:14:00,NORMAL,NORMAL
MOV-000115,AP04M7627,ENTRY,Vellore,2026-09-22T17:31:00,2026-09-22T18:01:00,NORMAL,NORMAL
MOV-000116,UP32EC5577,ENTRY,Coimbatore,2026-09-22T17:23:00,2026-09-22T17:53:00,NORMAL,NORMAL
MOV-000117,KL45C4411,ENTRY,Tirunelveli,2026-09-22T13:29:00,2026-09-22T13:59:00,NORMAL,NORMAL
MOV-000118,AS01AR1986,ENTRY,Trichy,2026-09-22T14:35:00,2026-09-22T15:05:00,NORMAL,NORMAL
MOV-000119,BR01BD5042,ENTRY,Trichy,2026-09-22T13:44:00,2026-09-22T14:14:00,NORMAL,NORMAL
MOV-000120,AP31BG7827,ENTRY,Tirunelveli,2026-09-22T14:51:00,2026-09-22T15:21:00,NORMAL,NORMAL
MOV-000121,AS23H0770,ENTRY,Thanjavur,2026-09-22T09:22:00,2026-09-22T09:52:00,NORMAL,NORMAL
MOV-000122,AN01M4M,ENTRY,Thanjavur,2026-09-22T12:29:00,2026-09-22T12:59:00,NORMAL,NORMAL
MOV-000123,WB08A4101,ENTRY,Vellore,2026-09-22T10:11:00,2026-09-22T10:41:00,NORMAL,NORMAL
MOV-000124,KA04MK312,ENTRY,Trichy,2026-09-22T11:54:00,2026-09-22T12:24:00,NORMAL,NORMAL
MOV-000125,WB061061,ENTRY,Tirunelveli,2026-09-22T15:18:00,2026-09-22T15:48:00,NORMAL,NORMAL
MOV-000126,AR048395,ENTRY,Vellore,2026-09-22T16:56:00,2026-09-22T17:26:00,NORMAL,NORMAL
MOV-000127,RJ23CB2272,ENTRY,Coimbatore,2026-09-22T11:51:00,2026-09-22T12:21:00,NORMAL,NORMAL
MOV-000128,MP45G0872,ENTRY,Madurai,2026-09-22T13:48:00,2026-09-22T14:18:00,NORMAL,NORMAL
MOV-000129,KL43G6619,ENTRY,Trichy,2026-09-22T09:25:00,2026-09-22T09:55:00,NORMAL,NORMAL
MOV-000130,DL10C05520,ENTRY,Madurai,2026-09-22T08:45:00,2026-09-22T09:15:00,NORMAL,NORMAL
MOV-000131,DN09H0968,ENTRY,Thanjavur,2026-09-22T15:36:00,2026-09-22T16:06:00,NORMAL,NORMAL
MOV-000132,MH11CQ8516,ENTRY,Tirunelveli,2026-09-22T13:11:00,2026-09-22T13:41:00,NORMAL,NORMAL
MOV-000133,PB11BN6101,ENTRY,Vellore,2026-09-22T17:05:00,2026-09-22T17:35:00,NORMAL,NORMAL
MOV-000134,HP54C6564,ENTRY,Madurai,2026-09-22T14:40:00,2026-09-22T15:10:00,NORMAL,NORMAL
MOV-000135,NL02C3947,ENTRY,Thanjavur,2026-09-22T15:14:00,2026-09-22T15:44:00,NORMAL,NORMAL
MOV-000136,KA38M8037,ENTRY,Salem,2026-09-22T10:06:00,2026-09-22T10:36:00,NORMAL,NORMAL
MOV-000137,DL10CA0986,ENTRY,Tirunelveli,2026-09-22T17:17:00,2026-09-22T17:47:00,NORMAL,NORMAL
MOV-000138,UK106679,ENTRY,Coimbatore,2026-09-22T07:43:00,2026-09-22T08:13:00,NORMAL,NORMAL
MOV-000139,JK09B7745,ENTRY,Coimbatore,2026-09-22T08:58:00,2026-09-22T09:28:00,NORMAL,NORMAL
MOV-000140,HR29R9466,ENTRY,Madurai,2026-09-22T08:33:00,2026-09-22T09:03:00,NORMAL,NORMAL
MOV-000141,DL9CAP8884,ENTRY,Tirunelveli,2026-09-22T08:32:00,2026-09-22T09:02:00,NORMAL,NORMAL
MOV-000142,PY01CE4149,ENTRY,Thanjavur,2026-09-22T18:34:00,2026-09-22T19:04:00,NORMAL,NORMAL
MOV-000143,UK185763,ENTRY,Tirunelveli,2026-09-22T10:24:00,2026-09-22T10:54:00,NORMAL,NORMAL
MOV-000144,HP12H1324,ENTRY,Salem,2026-09-22T11:57:00,2026-09-22T12:27:00,NORMAL,NORMAL
MOV-000145,CH01AZ2642,ENTRY,Chennai,2026-09-22T08:04:00,2026-09-22T08:34:00,NORMAL,NORMAL
MOV-000146,JH02AH0750,ENTRY,Salem,2026-09-22T10:21:00,2026-09-22T10:51:00,NORMAL,NORMAL
MOV-000147,UK07055789,ENTRY,Madurai,2026-09-22T13:38:00,2026-09-22T14:08:00,NORMAL,NORMAL
MOV-000148,KA51ML4025,ENTRY,Coimbatore,2026-09-22T15:13:00,2026-09-22T15:43:00,NORMAL,NORMAL
MOV-000149,WB02AJ4534,ENTRY,Vellore,2026-09-22T10:29:00,2026-09-22T10:59:00,NORMAL,NORMAL
MOV-000150,AP31BR9501,ENTRY,Chennai,2026-09-22T17:20:00,2026-09-22T17:50:00,NORMAL,NORMAL
MOV-000151,KA53P7604,ENTRY,Coimbatore,2026-09-22T17:10:00,2026-09-22T17:40:00,NORMAL,NORMAL
MOV-000152,GA03Y9512,ENTRY,Madurai,2026-09-22T13:55:00,2026-09-22T14:25:00,NORMAL,NORMAL
MOV-000153,PB08DT7342,ENTRY,Thanjavur,2026-09-22T15:33:00,2026-09-22T16:03:00,NORMAL,NORMAL
MOV-000154,BR33M0001,ENTRY,Salem,2026-09-22T08:46:00,2026-09-22T09:16:00,NORMAL,NORMAL
MOV-000155,SK01T3794,ENTRY,Chennai,2026-09-22T11:40:00,2026-09-22T12:10:00,NORMAL,NORMAL
MOV-000156,ML04C4738,ENTRY,Chennai,2026-09-22T12:26:00,2026-09-22T12:56:00,NORMAL,NORMAL
MOV-000157,PB02DY7380,ENTRY,Thanjavur,2026-09-22T08:19:00,2026-09-22T08:49:00,NORMAL,NORMAL
MOV-000158,TN69AJ4455,ENTRY,Trichy,2026-09-22T16:37:00,2026-09-22T17:07:00,NORMAL,NORMAL
MOV-000159,GJ01KC9959,ENTRY,Tirunelveli,2026-09-22T11:44:00,2026-09-22T12:14:00,NORMAL,NORMAL
MOV-000160,PB10EE0888,ENTRY,Vellore,2026-09-22T08:25:00,2026-09-22T08:55:00,NORMAL,NORMAL
MOV-000161,BR01AZ6290,ENTRY,Coimbatore,2026-09-22T16:08:00,2026-09-22T16:38:00,NORMAL,NORMAL
MOV-000162,ML137827,ENTRY,Tirunelveli,2026-09-22T07:30:00,2026-09-22T08:00:00,NORMAL,NORMAL
MOV-000163,TR05B0308,ENTRY,Chennai,2026-09-22T11:04:00,2026-09-22T11:34:00,NORMAL,NORMAL
MOV-000164,HP64B3380,ENTRY,Coimbatore,2026-09-22T15:02:00,2026-09-22T15:32:00,NORMAL,NORMAL
MOV-000165,WB171717,ENTRY,Tirunelveli,2026-09-22T13:31:00,2026-09-22T14:01:00,NORMAL,NORMAL
MOV-000166,UP78DB3730,ENTRY,Madurai,2026-09-22T07:45:00,2026-09-22T08:15:00,NORMAL,NORMAL
MOV-000167,GA02J2129,ENTRY,Coimbatore,2026-09-22T15:36:00,2026-09-22T16:06:00,NORMAL,NORMAL
MOV-000168,AP31BL2833,ENTRY,Thanjavur,2026-09-22T10:13:00,2026-09-22T10:43:00,NORMAL,NORMAL
MOV-000169,AN01P9687,ENTRY,Chennai,2026-09-22T09:46:00,2026-09-22T10:16:00,NORMAL,NORMAL
MOV-000170,AS01BS4362,ENTRY,Trichy,2026-09-22T17:12:00,2026-09-22T17:42:00,NORMAL,NORMAL
MOV-000171,HP12C3766,ENTRY,Thanjavur,2026-09-22T13:17:00,2026-09-22T13:47:00,NORMAL,NORMAL
MOV-000172,DL3CCK8019,ENTRY,Madurai,2026-09-22T19:12:00,2026-09-22T19:42:00,NORMAL,NORMAL
MOV-000173,ML064696,ENTRY,Vellore,2026-09-22T11:28:00,2026-09-22T11:58:00,NORMAL,NORMAL
MOV-000174,CG07MA7848,ENTRY,Vellore,2026-09-22T13:03:00,2026-09-22T13:33:00,NORMAL,NORMAL
MOV-000175,SK01PA5349,ENTRY,Thanjavur,2026-09-22T08:26:00,2026-09-22T08:56:00,NORMAL,NORMAL
MOV-000176,DL1CT2782,ENTRY,Vellore,2026-09-22T11:46:00,2026-09-22T12:16:00,NORMAL,NORMAL
MOV-000177,ML05J8950,ENTRY,Madurai,2026-09-22T09:25:00,2026-09-22T09:55:00,NORMAL,NORMAL
MOV-000178,ML05G3474,ENTRY,Vellore,2026-09-22T14:33:00,2026-09-22T15:03:00,NORMAL,NORMAL
MOV-000179,MZ01G9825,ENTRY,Vellore,2026-09-22T18:14:00,2026-09-22T18:44:00,NORMAL,NORMAL
MOV-000180,KA19MF1763,ENTRY,Thanjavur,2026-09-22T14:21:00,2026-09-22T14:51:00,NORMAL,NORMAL
MOV-000181,DL40NA7238,ENTRY,Tirunelveli,2026-09-22T09:24:00,2026-09-22T09:54:00,NORMAL,NORMAL
MOV-000182,AS06Z0841,ENTRY,Vellore,2026-09-22T10:03:00,2026-09-22T10:33:00,NORMAL,NORMAL
MOV-000183,HR26CC7676,ENTRY,Chennai,2026-09-22T15:18:00,2026-09-22T15:48:00,NORMAL,NORMAL
MOV-000184,GJ18BD5216,ENTRY,Coimbatore,2026-09-22T14:17:00,2026-09-22T14:47:00,NORMAL,NORMAL
MOV-000185,UP32KW7325,ENTRY,Thanjavur,2026-09-22T10:09:00,2026-09-22T10:39:00,NORMAL,NORMAL
MOV-000186,DL9CAV1739,ENTRY,Chennai,2026-09-22T14:04:00,2026-09-22T14:34:00,NORMAL,NORMAL
MOV-000187,WB06J4432,ENTRY,Coimbatore,2026-09-22T09:37:00,2026-09-22T10:07:00,NORMAL,NORMAL
MOV-000188,JH01AM0100,ENTRY,Coimbatore,2026-09-22T13:24:00,2026-09-22T13:54:00,NORMAL,NORMAL
MOV-000189,JK01AF0310,ENTRY,Thanjavur,2026-09-22T08:21:00,2026-09-22T08:51:00,NORMAL,NORMAL
MOV-000190,HP36E3330,ENTRY,Vellore,2026-09-22T17:55:00,2026-09-22T18:25:00,NORMAL,NORMAL
MOV-000191,GJ23CC8798,ENTRY,Coimbatore,2026-09-22T13:32:00,2026-09-22T14:02:00,NORMAL,NORMAL
MOV-000192,PY01AH9067,ENTRY,Chennai,2026-09-22T19:10:00,2026-09-22T19:40:00,NORMAL,NORMAL
MOV-000193,OR05AC0422,ENTRY,Trichy,2026-09-22T09:32:00,2026-09-22T10:02:00,NORMAL,NORMAL
MOV-000194,SK05T0338,ENTRY,Chennai,2026-09-22T17:57:00,2026-09-22T18:27:00,NORMAL,NORMAL
MOV-000195,OD14E3131,ENTRY,Tirunelveli,2026-09-22T13:19:00,2026-09-22T13:49:00,NORMAL,NORMAL
MOV-000196,PB07BY3563,ENTRY,Chennai,2026-09-22T07:47:00,2026-09-22T08:17:00,NORMAL,NORMAL
MOV-000197,BR44E1206,ENTRY,Trichy,2026-09-22T17:55:00,2026-09-22T18:25:00,NORMAL,NORMAL
MOV-000198,TS09UA7948,ENTRY,Chennai,2026-09-22T17:59:00,2026-09-22T18:29:00,NORMAL,NORMAL
MOV-000199,JK11B4928,ENTRY,Vellore,2026-09-22T09:43:00,2026-09-22T10:13:00,NORMAL,NORMAL
MOV-000200,KL16U8863,ENTRY,Thanjavur,2026-09-22T09:54:00,2026-09-22T10:24:00,NORMAL,NORMAL
MOV-000201,HR01W0080,ENTRY,Tirunelveli,2026-09-22T12:50:00,2026-09-22T13:20:00,NORMAL,NORMAL
MOV-000202,ML10C2674,ENTRY,Madurai,2026-09-22T15:55:00,2026-09-22T16:25:00,NORMAL,NORMAL
MOV-000203,WB26K2760,ENTRY,Madurai,2026-09-22T11:31:00,2026-09-22T12:01:00,NORMAL,NORMAL
MOV-000204,SK01PB5004,ENTRY,Trichy,2026-09-22T10:41:00,2026-09-22T11:11:00,NORMAL,NORMAL
MOV-000205,PB10DV5354,ENTRY,Coimbatore,2026-09-22T08:05:00,2026-09-22T08:35:00,NORMAL,NORMAL
MOV-000206,UP79L0567,ENTRY,Tirunelveli,2026-09-22T15:10:00,2026-09-22T15:40:00,NORMAL,NORMAL
MOV-000207,TR01AS0609,ENTRY,Tirunelveli,2026-09-22T19:30:00,2026-09-22T20:00:00,NORMAL,NORMAL
MOV-000208,ML05K9494,ENTRY,Chennai,2026-09-22T09:52:00,2026-09-22T10:22:00,NORMAL,NORMAL
MOV-000209,KA05MF1762,ENTRY,Madurai,2026-09-22T09:23:00,2026-09-22T09:53:00,NORMAL,NORMAL
MOV-000210,MH12HF5057,ENTRY,Trichy,2026-09-22T10:21:00,2026-09-22T10:51:00,NORMAL,NORMAL
MOV-000211,GA06E3855,ENTRY,Chennai,2026-09-22T15:32:00,2026-09-22T16:02:00,NORMAL,NORMAL
MOV-000212,AP31TV7236,ENTRY,Vellore,2026-09-22T11:06:00,2026-09-22T11:36:00,NORMAL,NORMAL
MOV-000213,AR118724,ENTRY,Tirunelveli,2026-09-22T10:56:00,2026-09-22T11:26:00,NORMAL,NORMAL
MOV-000214,WB12AX2987,ENTRY,Coimbatore,2026-09-22T19:27:00,2026-09-22T19:57:00,NORMAL,NORMAL
MOV-000215,GA01R6315,ENTRY,Coimbatore,2026-09-22T08:12:00,2026-09-22T08:42:00,NORMAL,NORMAL
