event_id,registration_number,camera_id,location,timestamp,detected_vehicle_type,detected_colour,ocr_confidence,event_type
ANPR-000054,AP07AD5555,CAM-MAD-04,Madurai,2026-09-22T17:14:00,Bike,Red,0.95,NORMAL
ANPR-000055,AR02A7116,CAM-COI-03,Coimbatore,2026-09-22T08:08:00,Truck,Black,0.926,NORMAL
ANPR-000056,WB02AH4655,CAM-TIR-04,Tirunelveli,2026-09-22T12:45:00,Bike,Grey,0.904,NORMAL
ANPR-000057,UP14AX9754,CAM-TRI-04,Trichy,2026-09-22T19:26:00,Bike,White,0.947,NORMAL
ANPR-000058,BR32PA6558,CAM-MAD-03,Madurai,2026-09-22T08:53:00,Truck,Black,0.91,NORMAL
ANPR-000059,PB10CK5005,CAM-SAL-02,Salem,2026-09-22T12:10:00,Car,Red,0.913,NORMAL
ANPR-000060,AP16DP7065,CAM-THA-01,Thanjavur,2026-09-22T10:48:00,Mini Truck,Grey,0.959,NORMAL
ANPR-000061,MP07CB8897,CAM-TRI-03,Trichy,2026-09-22T10:50:00,Truck,Yellow,0.978,NORMAL
ANPR-000062,MH12GR862,CAM-TIR-03,Tirunelveli,2026-09-22T15:04:00,Bus,Silver,0.888,NORMAL
ANPR-000063,JK03D7750,CAM-TIR-03,Tirunelveli,2026-09-22T16:33:00,Truck,Black,0.978,NORMAL
ANPR-000064,JH02AD2533,CAM-TRI-02,Trichy,2026-09-22T15:52:00,Truck,Grey,0.883,NORMAL
ANPR-000065,AR01C5723,CAM-VEL-02,Vellore,2026-09-22T08:07:00,Car,Red,0.921,NORMAL
ANPR-000066,CH01AL4920,CAM-TRI-03,Trichy,2026-09-22T11:07:00,Bus,Red,0.942,NORMAL
ANPR-000067,OR14U8730,CAM-MAD-01,Madurai,2026-09-22T16:54:00,Bike,Black,0.944,NORMAL
ANPR-000068,TR03F0375,CAM-MAD-02,Madurai,2026-09-22T10:13:00,Truck,Silver,0.985,NORMAL
ANPR-000069,TN02AU9295,CAM-MAD-03,Madurai,2026-09-22T10:29:00,Bus,Silver,0.976,NORMAL
ANPR-000070,AP31DF2833,CAM-VEL-03,Vellore,2026-09-22T19:38:00,Mini Truck,Red,0.893,NORMAL
ANPR-000071,DN0901438,CAM-COI-01,Coimbatore,2026-09-22T17:27:00,Mini Truck,Silver,0.965,NORMAL
ANPR-000072,JH05Y9636,CAM-SAL-04,Salem,2026-09-22T13:13:00,Truck,Blue,0.932,NORMAL
ANPR-000073,PY01CG2929,CAM-CHE-01,Chennai,2026-09-22T09:44:00,Mini Truck,Blue,0.895,NORMAL
ANPR-000074,BR01BE0777,CAM-TIR-03,Tirunelveli,2026-09-22T19:51:00,Bus,Red,0.98,NORMAL
ANPR-000075,CG04HV7009,CAM-VEL-03,Vellore,2026-09-22T12:51:00,Truck,Grey,0.897,NORMAL
ANPR-000076,HR26DJ8832,CAM-COI-03,Coimbatore,2026-09-22T11:52:00,Bike,White,0.977,NORMAL
ANPR-000077,PB10CQ0006,CAM-MAD-02,Madurai,2026-09-22T19:52:00,Bike,Silver,0.91,NORMAL
ANPR-000078,DL8CZ7230,CAM-TIR-03,Tirunelveli,2026-09-22T15:06:00,Bike,Yellow,0.918,NORMAL
ANPR-000079,CG04HC4887,CAM-MAD-03,Madurai,2026-09-22T16:28:00,Car,Black,0.934,NORMAL
ANPR-000080,GJ01RM3413,CAM-TRI-03,Trichy,2026-09-22T09:11:00,Truck,Yellow,0.932,NORMAL
ANPR-000081,AP5CG6320,CAM-MAD-03,Madurai,2026-09-22T08:14:00,Car,Blue,0.981,NORMAL
ANPR-000082,PY036993,CAM-VEL-03,Vellore,2026-09-22T13:57:00,Truck,White,0.896,NORMAL
ANPR-000083,PY05A8339,CAM-TIR-02,Tirunelveli,2026-09-22T16:37:00,Truck,Yellow,0.979,NORMAL
ANPR-000084,AS12S6951,CAM-TRI-04,Trichy,2026-09-22T08:58:00,Car,Black,0.899,NORMAL
ANPR-000085,WB02A03017,CAM-THA-04,Thanjavur,2026-09-22T10:16:00,Bus,White,0.962,NORMAL
ANPR-000086,HR26DM2296,CAM-VEL-04,Vellore,2026-09-22T13:32:00,Car,Grey,0.981,NORMAL
ANPR-000087,MH47N0712,CAM-CHE-02,Chennai,2026-09-22T18:32:00,Bike,Black,0.97,NORMAL
ANPR-000088,OD02C2836,CAM-THA-04,Thanjavur,2026-09-22T11:20:00,Bus,Yellow,0.894,NORMAL
ANPR-000089,JK03A8042,CAM-CHE-03,Chennai,2026-09-22T10:01:00,Truck,White,0.896,NORMAL
ANPR-000090,UP78ED0449,CAM-TRI-03,Trichy,2026-09-22T08:02:00,Car,Black,0.91,NORMAL
ANPR-000091,JH10BV1496,CAM-TIR-02,Tirunelveli,2026-09-22T18:05:00,Truck,Black,0.963,NORMAL
ANPR-000092,MH04HF5092,CAM-TIR-01,Tirunelveli,2026-09-22T08:56:00,Car,Blue,0.901,NORMAL
ANPR-000093,DL1CS8739,CAM-TIR-04,Tirunelveli,2026-09-22T14:35:00,Truck,Silver,0.987,NORMAL
ANPR-000094,HP23A6365,CAM-TIR-02,Tirunelveli,2026-09-22T15:03:00,Bike,Black,0.885,NORMAL
ANPR-000095,OD14B7432,CAM-COI-01,Coimbatore,2026-09-22T08:23:00,Mini Truck,Red,0.912,NORMAL
ANPR-000096,ML10B4503,CAM-COI-01,Coimbatore,2026-09-22T14:06:00,Car,Red,0.904,NORMAL
ANPR-000097,GA01E5947,CAM-COI-01,Coimbatore,2026-09-22T16:02:00,Truck,White,0.983,NORMAL
ANPR-000098,AP2D4014,CAM-CHE-03,Chennai,2026-09-22T11:27:00,Car,White,0.887,NORMAL
ANPR-000099,PB10EH0164,CAM-TIR-01,Tirunelveli,2026-09-22T14:15:00,Car,Black,0.92,NORMAL
ANPR-000100,ML1032811,CAM-THA-04,Thanjavur,2026-09-22T12:10:00,Car,Blue,0.9,NORMAL
ANPR-000101,GJ05JB6589,CAM-TRI-03,Trichy,2026-09-22T14:42:00,Truck,Red,0.936,NORMAL
ANPR-000102,JK13C4452,CAM-TRI-02,Trichy,2026-09-22T13:11:00,Car,Silver,0.945,NORMAL
ANPR-000103,JK127959,CAM-COI-02,Coimbatore,2026-09-22T08:40:00,Bike,Yellow,0.967,NORMAL
ANPR-000104,CG04H5060,CAM-COI-03,Coimbatore,2026-09-22T13:30:00,Bike,Black,0.95,NORMAL
ANPR-000105,WB06J9177,CAM-MAD-03,Madurai,2026-09-22T14:41:00,Bus,Red,0.94,NORMAL
ANPR-000106,KA28M3589,CAM-SAL-03,Salem,2026-09-22T08:33:00,Truck,Silver,0.89,NORMAL
ANPR-000107,TS08EZ9463,CAM-THA-03,Thanjavur,2026-09-22T19:05:00,Truck,Black,0.934,NORMAL
ANPR-000108,DL8CAU6883,CAM-TIR-03,Tirunelveli,2026-09-22T09:56:00,Truck,White,0.911,NORMAL
ANPR-000109,WB02W9S3S,CAM-TRI-03,Trichy,2026-09-22T15:50:00,Truck,White,0.882,NORMAL
ANPR-000110,HR56B2626,CAM-TIR-01,Tirunelveli,2026-09-22T16:01:00,Mini Truck,Black,0.959,NORMAL
ANPR-000111,KL0BBJ5001,CAM-THA-03,Thanjavur,2026-09-22T09:37:00,Mini Truck,Yellow,0.897,NORMAL
ANPR-000112,WB02X8795,CAM-MAD-03,Madurai,2026-09-22T11:50:00,Truck,Grey,0.881,NORMAL
ANPR-000113,AP16CH9545,CAM-THA-02,Thanjavur,2026-09-22T11:29:00,Mini Truck,White,0.971,NORMAL
ANPR-000114,AP39TP0211,CAM-CHE-03,Chennai,2026-09-22T09:14:00,Bike,Grey,0.933,NORMAL
ANPR-000115,AP04M7627,CAM-VEL-03,Vellore,2026-09-22T18:01:00,Truck,Grey,0.971,NORMAL
ANPR-000116,UP32EC5577,CAM-COI-01,Coimbatore,2026-09-22T17:53:00,Mini Truck,Blue,0.955,NORMAL
ANPR-000117,KL45C4411,CAM-TIR-04,Tirunelveli,2026-09-22T13:59:00,Car,Yellow,0.955,NORMAL
ANPR-000118,AS01AR1986,CAM-TRI-01,Trichy,2026-09-22T15:05:00,Car,Yellow,0.933,NORMAL
ANPR-000119,BR01BD5042,CAM-TRI-02,Trichy,2026-09-22T14:14:00,Bike,White,0.945,NORMAL
ANPR-000120,AP31BG7827,CAM-TIR-04,Tirunelveli,2026-09-22T15:21:00,Mini Truck,Grey,0.98,NORMAL
ANPR-000121,AS23H0770,CAM-THA-04,Thanjavur,2026-09-22T09:52:00,Mini Truck,Grey,0.971,NORMAL
ANPR-000122,AN01M4M,CAM-THA-04,Thanjavur,2026-09-22T12:59:00,Car,Yellow,0.912,NORMAL
ANPR-000123,WB08A4101,CAM-VEL-04,Vellore,2026-09-22T10:41:00,Truck,White,0.971,NORMAL
ANPR-000124,KA04MK312,CAM-TRI-02,Trichy,2026-09-22T12:24:00,Bike,Red,0.98,NORMAL
ANPR-000125,WB061061,CAM-TIR-02,Tirunelveli,2026-09-22T15:48:00,Bike,Black,0.914,NORMAL
ANPR-000126,AR048395,CAM-VEL-03,Vellore,2026-09-22T17:26:00,Truck,Blue,0.896,NORMAL
ANPR-000127,RJ23CB2272,CAM-COI-02,Coimbatore,2026-09-22T12:21:00,Car,White,0.961,NORMAL
ANPR-000128,MP45G0872,CAM-MAD-02,Madurai,2026-09-22T14:18:00,Truck,White,0.974,NORMAL
ANPR-000129,KL43G6619,CAM-TRI-03,Trichy,2026-09-22T09:55:00,Truck,Yellow,0.98,NORMAL
ANPR-000130,DL10C05520,CAM-MAD-01,Madurai,2026-09-22T09:15:00,Truck,Black,0.942,NORMAL
ANPR-000131,DN09H0968,CAM-THA-04,Thanjavur,2026-09-22T16:06:00,Truck,White,0.915,NORMAL
ANPR-000132,MH11CQ8516,CAM-TIR-04,Tirunelveli,2026-09-22T13:41:00,Truck,Grey,0.908,NORMAL
ANPR-000133,PB11BN6101,CAM-VEL-03,Vellore,2026-09-22T17:35:00,Bike,Silver,0.955,NORMAL
ANPR-000134,HP54C6564,CAM-MAD-01,Madurai,2026-09-22T15:10:00,Car,White,0.921,NORMAL
ANPR-000135,NL02C3947,CAM-THA-02,Thanjavur,2026-09-22T15:44:00,Bus,Black,0.945,NORMAL
ANPR-000136,KA38M8037,CAM-SAL-04,Salem,2026-09-22T10:36:00,Mini Truck,Red,0.883,NORMAL
ANPR-000137,DL10CA0986,CAM-TIR-01,Tirunelveli,2026-09-22T17:47:00,Car,Red,0.954,NORMAL
ANPR-000138,UK106679,CAM-COI-01,Coimbatore,2026-09-22T08:13:00,Bus,Yellow,0.978,NORMAL
ANPR-000139,JK09B7745,CAM-COI-02,Coimbatore,2026-09-22T09:28:00,Mini Truck,Grey,0.984,NORMAL
ANPR-000140,HR29R9466,CAM-MAD-02,Madurai,2026-09-22T09:03:00,Bus,Red,0.921,NORMAL
ANPR-000141,DL9CAP8884,CAM-TIR-01,Tirunelveli,2026-09-22T09:02:00,Bus,Black,0.969,NORMAL
ANPR-000142,PY01CE4149,CAM-THA-03,Thanjavur,2026-09-22T19:04:00,Truck,Black,0.958,NORMAL
ANPR-000143,UK185763,CAM-TIR-03,Tirunelveli,2026-09-22T10:54:00,Car,White,0.939,NORMAL
ANPR-000144,HP12H1324,CAM-SAL-04,Salem,2026-09-22T12:27:00,Mini Truck,White,0.949,NORMAL
ANPR-000145,CH01AZ2642,CAM-CHE-01,Chennai,2026-09-22T08:34:00,Car,Black,0.955,NORMAL
ANPR-000146,JH02AH0750,CAM-SAL-03,Salem,2026-09-22T10:51:00,Car,White,0.96,NORMAL
ANPR-000147,UK07055789,CAM-MAD-01,Madurai,2026-09-22T14:08:00,Car,Yellow,0.905,NORMAL
ANPR-000148,KA51ML4025,CAM-COI-03,Coimbatore,2026-09-22T15:43:00,Mini Truck,Yellow,0.928,NORMAL
ANPR-000149,WB02AJ4534,CAM-VEL-02,Vellore,2026-09-22T10:59:00,Truck,Black,0.898,NORMAL
ANPR-000150,AP31BR9501,CAM-CHE-02,Chennai,2026-09-22T17:50:00,Car,Silver,0.957,NORMAL
ANPR-000151,KA53P7604,CAM-COI-01,Coimbatore,2026-09-22T17:40:00,Bike,Black,0.961,NORMAL
ANPR-000152,GA03Y9512,CAM-MAD-03,Madurai,2026-09-22T14:25:00,Truck,Yellow,0.928,NORMAL
ANPR-000153,PB08DT7342,CAM-THA-01,Thanjavur,2026-09-22T16:03:00,Car,Grey,0.969,NORMAL
ANPR-000154,BR33M0001,CAM-SAL-03,Salem,2026-09-22T09:16:00,Car,Silver,0.979,NORMAL
ANPR-000155,SK01T3794,CAM-CHE-01,Chennai,2026-09-22T12:10:00,Car,Grey,0.944,NORMAL
ANPR-000156,ML04C4738,CAM-CHE-04,Chennai,2026-09-22T12:56:00,Truck,White,0.96,NORMAL
ANPR-000157,PB02DY7380,CAM-THA-01,Thanjavur,2026-09-22T08:49:00,Mini Truck,Red,0.894,NORMAL
ANPR-000158,TN69AJ4455,CAM-TRI-03,Trichy,2026-09-22T17:07:00,Car,Yellow,0.972,NORMAL
ANPR-000159,GJ01KC9959,CAM-TIR-04,Tirunelveli,2026-09-22T12:14:00,Truck,Black,0.899,NORMAL
ANPR-000160,PB10EE0888,CAM-VEL-02,Vellore,2026-09-22T08:55:00,Car,Grey,0.98,NORMAL
ANPR-000161,BR01AZ6290,CAM-COI-04,Coimbatore,2026-09-22T16:38:00,Car,White,0.899,NORMAL
ANPR-000162,ML137827,CAM-TIR-03,Tirunelveli,2026-09-22T08:00:00,Car,Grey,0.904,NORMAL
ANPR-000163,TR05B0308,CAM-CHE-02,Chennai,2026-09-22T11:34:00,Truck,Black,0.985,NORMAL
ANPR-000164,HP64B3380,CAM-COI-02,Coimbatore,2026-09-22T15:32:00,Bike,Black,0.91,NORMAL
ANPR-000165,WB171717,CAM-TIR-02,Tirunelveli,2026-09-22T14:01:00,Bike,Red,0.964,NORMAL
ANPR-000166,UP78DB3730,CAM-MAD-03,Madurai,2026-09-22T08:15:00,Truck,Blue,0.967,NORMAL
ANPR-000167,GA02J2129,CAM-COI-03,Coimbatore,2026-09-22T16:06:00,Truck,Yellow,0.934,NORMAL
ANPR-000168,AP31BL2833,CAM-THA-03,Thanjavur,2026-09-22T10:43:00,Truck,Blue,0.947,NORMAL
ANPR-000169,AN01P9687,CAM-CHE-01,Chennai,2026-09-22T10:16:00,Mini Truck,Silver,0.969,NORMAL
ANPR-000170,AS01BS4362,CAM-TRI-03,Trichy,2026-09-22T17:42:00,Truck,Yellow,0.938,NORMAL
ANPR-000171,HP12C3766,CAM-THA-03,Thanjavur,2026-09-22T13:47:00,Mini Truck,Grey,0.95,NORMAL
ANPR-000172,DL3CCK8019,CAM-MAD-01,Madurai,2026-09-22T19:42:00,Truck,White,0.889,NORMAL
ANPR-000173,ML064696,CAM-VEL-04,Vellore,2026-09-22T11:58:00,Car,Blue,0.954,NORMAL
ANPR-000174,CG07MA7848,CAM-VEL-03,Vellore,2026-09-22T13:33:00,Bus,Grey,0.965,NORMAL
ANPR-000175,SK01PA5349,CAM-THA-02,Thanjavur,2026-09-22T08:56:00,Truck,Blue,0.887,NORMAL
ANPR-000176,DL1CT2782,CAM-VEL-01,Vellore,2026-09-22T12:16:00,Truck,White,0.967,NORMAL
ANPR-000177,ML05J8950,CAM-MAD-03,Madurai,2026-09-22T09:55:00,Car,Grey,0.911,NORMAL
ANPR-000178,ML05G3474,CAM-VEL-01,Vellore,2026-09-22T15:03:00,Mini Truck,Black,0.941,NORMAL
ANPR-000179,MZ01G9825,CAM-VEL-02,Vellore,2026-09-22T18:44:00,Mini Truck,White,0.963,NORMAL
ANPR-000180,KA19MF1763,CAM-THA-04,Thanjavur,2026-09-22T14:51:00,Mini Truck,Black,0.898,NORMAL
ANPR-000181,DL40NA7238,CAM-TIR-04,Tirunelveli,2026-09-22T09:54:00,Truck,Yellow,0.956,NORMAL
ANPR-000182,AS06Z0841,CAM-VEL-02,Vellore,2026-09-22T10:33:00,Bus,Silver,0.98,NORMAL
ANPR-000183,HR26CC7676,CAM-CHE-02,Chennai,2026-09-22T15:48:00,Truck,Grey,0.886,NORMAL
ANPR-000184,GJ18BD5216,CAM-COI-03,Coimbatore,2026-09-22T14:47:00,Truck,Black,0.976,NORMAL
ANPR-000185,UP32KW7325,CAM-THA-01,Thanjavur,2026-09-22T10:39:00,Mini Truck,Red,0.982,NORMAL
ANPR-000186,DL9CAV1739,CAM-CHE-02,Chennai,2026-09-22T14:34:00,Car,White,0.958,NORMAL
ANPR-000187,WB06J4432,CAM-COI-01,Coimbatore,2026-09-22T10:07:00,Truck,Grey,0.941,NORMAL
ANPR-000188,JH01AM0100,CAM-COI-01,Coimbatore,2026-09-22T13:54:00,Bike,Red,0.907,NORMAL
ANPR-000189,JK01AF0310,CAM-THA-02,Thanjavur,2026-09-22T08:51:00,Mini Truck,Blue,0.937,NORMAL
ANPR-000190,HP36E3330,CAM-VEL-04,Vellore,2026-09-22T18:25:00,Bus,Grey,0.885,NORMAL
ANPR-000191,GJ23CC8798,CAM-COI-04,Coimbatore,2026-09-22T14:02:00,Bus,White,0.973,NORMAL
ANPR-000192,PY01AH9067,CAM-CHE-03,Chennai,2026-09-22T19:40:00,Car,Blue,0.97,NORMAL
ANPR-000193,OR05AC0422,CAM-TRI-04,Trichy,2026-09-22T10:02:00,Mini Truck,Grey,0.949,NORMAL
ANPR-000194,SK05T0338,CAM-CHE-04,Chennai,2026-09-22T18:27:00,Bus,Black,0.927,NORMAL
ANPR-000195,OD14E3131,CAM-TIR-02,Tirunelveli,2026-09-22T13:49:00,Truck,Blue,0.977,NORMAL
ANPR-000196,PB07BY3563,CAM-CHE-04,Chennai,2026-09-22T08:17:00,Bus,Red,0.959,NORMAL
ANPR-000197,BR44E1206,CAM-TRI-01,Trichy,2026-09-22T18:25:00,Bus,Grey,0.988,NORMAL
ANPR-000198,TS09UA7948,CAM-CHE-03,Chennai,2026-09-22T18:29:00,Truck,Grey,0.989,NORMAL
ANPR-000199,JK11B4928,CAM-VEL-03,Vellore,2026-09-22T10:13:00,Bike,White,0.891,NORMAL
ANPR-000200,KL16U8863,CAM-THA-04,Thanjavur,2026-09-22T10:24:00,Mini Truck,Grey,0.91,NORMAL
ANPR-000201,HR01W0080,CAM-TIR-04,Tirunelveli,2026-09-22T13:20:00,Mini Truck,Grey,0.914,NORMAL
ANPR-000202,ML10C2674,CAM-MAD-03,Madurai,2026-09-22T16:25:00,Car,Red,0.941,NORMAL
ANPR-000203,WB26K2760,CAM-MAD-01,Madurai,2026-09-22T12:01:00,Bike,Black,0.907,NORMAL
ANPR-000204,SK01PB5004,CAM-TRI-03,Trichy,2026-09-22T11:11:00,Truck,Silver,0.927,NORMAL
ANPR-000205,PB10DV5354,CAM-COI-02,Coimbatore,2026-09-22T08:35:00,Truck,Red,0.941,NORMAL
ANPR-000206,UP79L0567,CAM-TIR-03,Tirunelveli,2026-09-22T15:40:00,Truck,Blue,0.972,NORMAL
ANPR-000207,TR01AS0609,CAM-TIR-03,Tirunelveli,2026-09-22T20:00:00,Truck,Grey,0.949,NORMAL
ANPR-000208,ML05K9494,CAM-CHE-01,Chennai,2026-09-22T10:22:00,Truck,Yellow,0.971,NORMAL
ANPR-000209,KA05MF1762,CAM-MAD-04,Madurai,2026-09-22T09:53:00,Truck,Red,0.959,NORMAL
ANPR-000210,MH12HF5057,CAM-TRI-01,Trichy,2026-09-22T10:51:00,Bus,Yellow,0.96,NORMAL
ANPR-000211,GA06E3855,CAM-CHE-02,Chennai,2026-09-22T16:02:00,Truck,White,0.89,NORMAL
ANPR-000212,AP31TV7236,CAM-VEL-01,Vellore,2026-09-22T11:36:00,Bike,Blue,0.883,NORMAL
ANPR-000213,AR118724,CAM-TIR-02,Tirunelveli,2026-09-22T11:26:00,Bus,Yellow,0.952,NORMAL
ANPR-000214,WB12AX2987,CAM-COI-04,Coimbatore,2026-09-22T19:57:00,Mini Truck,Black,0.942,NORMAL
ANPR-000215,GA01R6315,CAM-COI-02,Coimbatore,2026-09-22T08:42:00,Truck,Black,0.882,NORMAL
ANPR-000216,GJ34B9811,CAM-TRI-01,Trichy,2026-09-22T09:33:00,Truck,White,0.931,NORMAL
ANPR-000217,JK02AG2454,CAM-SAL-04,Salem,2026-09-22T17:26:00,Truck,White,0.902,NORMAL
ANPR-000218,TS09EZ9296,CAM-CHE-04,Chennai,2026-09-22T09:22:00,Bus,White,0.986,NORMAL
ANPR-000219,UP32CX3400,CAM-SAL-04,Salem,2026-09-22T17:44:00,Mini Truck,Silver,0.923,NORMAL
ANPR-000220,HR4281329,CAM-SAL-01,Salem,2026-09-22T18:29:00,Bike,Blue,0.968,NORMAL
ANPR-000221,TS21J8351,CAM-TRI-04,Trichy,2026-09-22T11:04:00,Bus,Red,0.88,NORMAL
ANPR-000222,MH36H5700,CAM-MAD-04,Madurai,2026-09-22T17:49:00,Bike,Black,0.896,NORMAL
ANPR-000223,GJ06JE4788,CAM-TIR-04,Tirunelveli,2026-09-22T19:18:00,Truck,Grey,0.892,NORMAL
ANPR-000224,PY02S9326,CAM-CHE-04,Chennai,2026-09-22T14:25:00,Car,Grey,0.944,NORMAL
