vehicle_id,registration_number,state_code,vehicle_type,commercial_vehicle,manufacturer,model,registered_colour,operator,permit_status,permit_expiry,fitness_status,fitness_expiry,insurance_status,insurance_expiry,puc_status,puc_expiry,fastag_id,fastag_status,registry_status,chassis_reference,engine_reference,source_image_id,source_image_path,data_source
VH-000011,TS18T3899,TS,Bike,NO,Honda,Shine,Black,Apex Logistics,VALID,2028-04-26,VALID,2027-06-12,VALID,2027-02-10,VALID,2026-10-31,FT-000011,ACTIVE,ACTIVE,CHASSIS-SYN-000011,ENGINE-SYN-000011,TS6,dataset\NumberPlate_Annotated_Dataset-main\Images\TS6.jpg,SYNTHETIC_PROTOTYPE
VH-000012,ML05C5389,ML,Bike,NO,TVS,Apache,Yellow,Chennai Cargo,VALID,2027-03-18,VALID,2028-01-16,VALID,2027-07-19,VALID,2027-03-28,FT-000012,ACTIVE,ACTIVE,CHASSIS-SYN-000012,ENGINE-SYN-000012,ML30,dataset\NumberPlate_Annotated_Dataset-main\Images\ML30.jpg,SYNTHETIC_PROTOTYPE
VH-000013,HP3SG1539,HP,Mini Truck,YES,Mahindra,Bolero Pickup,Black,GreenLine Transport,VALID,2027-02-05,VALID,2027-10-26,VALID,2027-04-18,VALID,2027-02-22,FT-000013,ACTIVE,ACTIVE,CHASSIS-SYN-000013,ENGINE-SYN-000013,HP14,dataset\NumberPlate_Annotated_Dataset-main\Images\HP14.jpg,SYNTHETIC_PROTOTYPE
VH-000014,ML05F9854,ML,Bus,YES,Tata,Starbus,Grey,Coastal Commercials,VALID,2028-06-23,VALID,2028-04-01,VALID,2027-03-07,VALID,2027-05-07,FT-000014,ACTIVE,ACTIVE,CHASSIS-SYN-000014,ENGINE-SYN-000014,ML12,dataset\NumberPlate_Annotated_Dataset-main\Images\ML12.jpg,SYNTHETIC_PROTOTYPE
VH-000015,AR01J0123,AR,Truck,YES,Ashok Leyland,AVTR,Yellow,GreenLine Transport,VALID,2028-05-10,VALID,2028-01-26,VALID,2027-02-23,VALID,2026-10-27,FT-000015,ACTIVE,ACTIVE,CHASSIS-SYN-000015,ENGINE-SYN-000015,AR11,dataset\NumberPlate_Annotated_Dataset-main\Images\AR11.jpg,SYNTHETIC_PROTOTYPE
VH-000016,BR01AW1250,BR,Truck,YES,Ashok Leyland,AVTR,Grey,Chennai Cargo,VALID,2028-03-02,VALID,2028-01-10,EXPIRED,2026-07-23,VALID,2027-08-19,FT-000016,ACTIVE,ACTIVE,CHASSIS-SYN-000016,ENGINE-SYN-000016,BR9,dataset\NumberPlate_Annotated_Dataset-main\Images\BR9.jpg,SYNTHETIC_PROTOTYPE
VH-000017,PB04S4253,PB,Truck,YES,Tata,Prima,Silver,Kaveri Transport,EXPIRED,2026-01-23,VALID,2027-10-31,VALID,2027-01-22,VALID,2027-07-16,FT-000017,ACTIVE,ACTIVE,CHASSIS-SYN-000017,ENGINE-SYN-000017,PB2,dataset\NumberPlate_Annotated_Dataset-main\Images\PB2.jpg,SYNTHETIC_PROTOTYPE
VH-000018,JK02BF5058,JK,Truck,YES,Ashok Leyland,AVTR,White,Metro Transit,VALID,2028-08-07,VALID,2027-06-07,VALID,2027-04-08,VALID,2027-05-10,FT-000018,ACTIVE,ACTIVE,CHASSIS-SYN-000018,ENGINE-SYN-000018,JK1,dataset\NumberPlate_Annotated_Dataset-main\Images\JK1.jpg,SYNTHETIC_PROTOTYPE
VH-000019,PB04T0678,PB,Truck,YES,Tata,Prima,Yellow,Coastal Commercials,VALID,2028-07-31,VALID,2028-06-09,VALID,2027-03-07,VALID,2027-08-23,FT-000019,ACTIVE,ACTIVE,CHASSIS-SYN-000019,ENGINE-SYN-000019,PB26,dataset\NumberPlate_Annotated_Dataset-main\Images\PB26.jpg,SYNTHETIC_PROTOTYPE
VH-000020,ML05Q8790,ML,Bike,NO,Honda,Shine,Black,Coastal Commercials,VALID,2028-11-13,VALID,2027-06-05,VALID,2027-07-25,VALID,2027-05-01,FT-000020,ACTIVE,ACTIVE,CHASSIS-SYN-000020,ENGINE-SYN-000020,ML2,dataset\NumberPlate_Annotated_Dataset-main\Images\ML2.jpg,SYNTHETIC_PROTOTYPE
VH-000021,BR02AF7424,BR,Car,NO,Toyota,Innova,Black,Tamil Fleet Services,VALID,2027-11-28,VALID,2026-10-28,VALID,2027-05-05,VALID,2027-04-15,FT-000021,ACTIVE,ACTIVE,CHASSIS-SYN-000021,ENGINE-SYN-000021,BR11,dataset\NumberPlate_Annotated_Dataset-main\Images\BR11.jpg,SYNTHETIC_PROTOTYPE
VH-000022,CG08K2057,CG,Truck,YES,Tata,Prima,Black,Southern Freight,VALID,2028-08-05,VALID,2027-10-20,EXPIRED,2026-08-11,VALID,2027-05-01,FT-000022,ACTIVE,ACTIVE,CHASSIS-SYN-000022,ENGINE-SYN-000022,CG7,dataset\NumberPlate_Annotated_Dataset-main\Images\CG7.jpg,SYNTHETIC_PROTOTYPE
VH-000023,AR169723,AR,Truck,YES,Tata,Prima,White,Tamil Fleet Services,VALID,2027-09-12,VALID,2028-02-26,VALID,2027-05-30,VALID,2027-05-31,FT-000023,ACTIVE,ACTIVE,CHASSIS-SYN-000023,ENGINE-SYN-000023,AR3,dataset\NumberPlate_Annotated_Dataset-main\Images\AR3.jpg,SYNTHETIC_PROTOTYPE
VH-000024,KL41M93,KL,Car,NO,Toyota,Innova,Silver,Apex Logistics,VALID,2027-10-18,VALID,2028-06-08,VALID,2027-08-17,VALID,2027-02-24,FT-000024,ACTIVE,ACTIVE,CHASSIS-SYN-000024,ENGINE-SYN-000024,KL7,dataset\NumberPlate_Annotated_Dataset-main\Images\KL7.jpg,SYNTHETIC_PROTOTYPE
VH-000025,DL12CL2555,DL,Mini Truck,YES,Tata,407,Yellow,Southern Freight,VALID,2028-01-02,VALID,2027-08-29,VALID,2027-03-09,VALID,2027-02-20,FT-000025,ACTIVE,ACTIVE,CHASSIS-SYN-000025,ENGINE-SYN-000025,DL20,dataset\NumberPlate_Annotated_Dataset-main\Images\DL20.jpg,SYNTHETIC_PROTOTYPE
VH-000026,JH01AR2011,JH,Truck,YES,Ashok Leyland,AVTR,Red,Tamil Fleet Services,VALID,2028-04-06,VALID,2027-09-03,VALID,2027-01-31,EXPIRED,2026-08-24,FT-000026,ACTIVE,ACTIVE,CHASSIS-SYN-000026,ENGINE-SYN-000026,JH17,dataset\NumberPlate_Annotated_Dataset-main\Images\JH17.jpg,SYNTHETIC_PROTOTYPE
VH-000027,PY01CM9549,PY,Truck,YES,Tata,Prima,Silver,Metro Transit,VALID,2026-11-10,VALID,2028-07-24,VALID,2027-07-16,VALID,2026-12-14,FT-000027,ACTIVE,ACTIVE,CHASSIS-SYN-000027,ENGINE-SYN-000027,PY2,dataset\NumberPlate_Annotated_Dataset-main\Images\PY2.jpg,SYNTHETIC_PROTOTYPE
VH-000028,DL4CAQ3231,DL,Bike,NO,Honda,Shine,Black,Kaveri Transport,VALID,2028-06-10,VALID,2027-09-20,VALID,2027-06-17,VALID,2027-03-19,FT-000028,ACTIVE,ACTIVE,CHASSIS-SYN-000028,ENGINE-SYN-000028,DL38,dataset\NumberPlate_Annotated_Dataset-main\Images\DL38.jpg,SYNTHETIC_PROTOTYPE
VH-000029,JH08C0625,JH,Truck,YES,Tata,Prima,Yellow,Metro Transit,VALID,2028-02-16,VALID,2028-01-09,EXPIRED,2026-08-13,EXPIRED,2026-07-22,FT-000029,ACTIVE,ACTIVE,CHASSIS-SYN-000029,ENGINE-SYN-000029,JH15,dataset\NumberPlate_Annotated_Dataset-main\Images\JH15.jpg,SYNTHETIC_PROTOTYPE
VH-000030,CG251612,CG,Mini Truck,YES,Ashok Leyland,Dost,Silver,Coastal Commercials,VALID,2027-01-08,VALID,2027-09-21,VALID,2027-04-20,VALID,2027-02-15,FT-000030,ACTIVE,ACTIVE,CHASSIS-SYN-000030,ENGINE-SYN-000030,CG20,dataset\NumberPlate_Annotated_Dataset-main\Images\CG20.jpg,SYNTHETIC_PROTOTYPE
VH-000031,PY01CV2447,PY,Mini Truck,YES,Mahindra,Bolero Pickup,Grey,Metro Transit,VALID,2027-11-07,VALID,2027-12-22,VALID,2027-04-18,VALID,2027-04-09,FT-000031,ACTIVE,ACTIVE,CHASSIS-SYN-000031,ENGINE-SYN-000031,PY14,dataset\NumberPlate_Annotated_Dataset-main\Images\PY14.jpg,SYNTHETIC_PROTOTYPE
VH-000032,CG07CA7784,CG,Bike,NO,TVS,Apache,White,Tamil Fleet Services,VALID,2028-06-20,VALID,2027-10-15,EXPIRED,2026-09-19,VALID,2027-06-23,FT-000032,ACTIVE,ACTIVE,CHASSIS-SYN-000032,ENGINE-SYN-000032,CG18,dataset\NumberPlate_Annotated_Dataset-main\Images\CG18.jpg,SYNTHETIC_PROTOTYPE
VH-000033,OR21E1033,OR,Bike,NO,Bajaj,Pulsar,Yellow,Chennai Cargo,VALID,2029-02-10,VALID,2028-03-22,VALID,2027-03-30,VALID,2027-01-17,FT-000033,ACTIVE,ACTIVE,CHASSIS-SYN-000033,ENGINE-SYN-000033,OD23,dataset\NumberPlate_Annotated_Dataset-main\Images\OD23.jpg,SYNTHETIC_PROTOTYPE
VH-000034,AP310U7562,AP,Truck,YES,BharatBenz,3123R,Red,Southern Freight,VALID,2027-09-19,VALID,2027-01-23,VALID,2026-11-15,VALID,2027-02-23,FT-000034,ACTIVE,ACTIVE,CHASSIS-SYN-000034,ENGINE-SYN-000034,AP12,dataset\NumberPlate_Annotated_Dataset-main\Images\AP12.jpg,SYNTHETIC_PROTOTYPE
VH-000035,TN63BV7954,TN,Bike,NO,TVS,Apache,Black,Apex Logistics,VALID,2026-11-06,VALID,2027-03-19,VALID,2026-11-20,VALID,2027-04-06,FT-000035,ACTIVE,ACTIVE,CHASSIS-SYN-000035,ENGINE-SYN-000035,TN1,dataset\NumberPlate_Annotated_Dataset-main\Images\TN1.jpg,SYNTHETIC_PROTOTYPE
VH-000036,JK02BL1212,JK,Car,NO,Toyota,Innova,Yellow,Kaveri Transport,VALID,2027-09-08,VALID,2026-12-17,VALID,2027-05-01,VALID,2027-07-02,FT-000036,ACTIVE,ACTIVE,CHASSIS-SYN-000036,ENGINE-SYN-000036,JK3,dataset\NumberPlate_Annotated_Dataset-main\Images\JK3.jpg,SYNTHETIC_PROTOTYPE
VH-000037,TR01N0481,TR,Mini Truck,YES,Mahindra,Bolero Pickup,Blue,Coastal Commercials,VALID,2028-11-09,VALID,2028-08-24,VALID,2026-12-05,VALID,2027-02-19,FT-000037,BLACKLISTED,ACTIVE,CHASSIS-SYN-000037,ENGINE-SYN-000037,TR4,dataset\NumberPlate_Annotated_Dataset-main\Images\TR4.jpg,SYNTHETIC_PROTOTYPE
VH-000038,DL6CJ8404,DL,Truck,YES,BharatBenz,3123R,Black,Tamil Fleet Services,EXPIRED,2026-09-11,VALID,2028-06-12,VALID,2026-12-06,VALID,2026-12-25,FT-000038,ACTIVE,ACTIVE,CHASSIS-SYN-000038,ENGINE-SYN-000038,DL1,dataset\NumberPlate_Annotated_Dataset-main\Images\DL1.jpg,SYNTHETIC_PROTOTYPE
VH-000039,CH01BQ5604,CH,Truck,YES,BharatBenz,3123R,Silver,Southern Freight,VALID,2027-11-26,VALID,2027-02-20,VALID,2027-03-03,VALID,2027-09-14,FT-000039,ACTIVE,ACTIVE,CHASSIS-SYN-000039,ENGINE-SYN-000039,CH1,dataset\NumberPlate_Annotated_Dataset-main\Images\CH1.jpg,SYNTHETIC_PROTOTYPE
VH-000040,AP39GR3492,AP,Mini Truck,YES,Tata,407,Yellow,GreenLine Transport,VALID,2027-08-25,VALID,2027-08-12,VALID,2027-03-14,VALID,2027-09-17,FT-000040,ACTIVE,ACTIVE,CHASSIS-SYN-000040,ENGINE-SYN-000040,AP16,dataset\NumberPlate_Annotated_Dataset-main\Images\AP16.jpg,SYNTHETIC_PROTOTYPE
VH-000041,MN01G0297,MN,Truck,YES,Tata,Prima,White,Sri Lakshmi Logistics,VALID,2029-01-07,VALID,2028-09-21,VALID,2027-04-15,VALID,2027-04-29,FT-000041,ACTIVE,ACTIVE,CHASSIS-SYN-000041,ENGINE-SYN-000041,MN3,dataset\NumberPlate_Annotated_Dataset-main\Images\MN3.jpg,SYNTHETIC_PROTOTYPE
VH-000042,TR07D0569,TR,Mini Truck,YES,Mahindra,Bolero Pickup,Red,Metro Transit,VALID,2027-10-25,VALID,2028-06-07,VALID,2027-09-19,VALID,2027-08-28,FT-000042,ACTIVE,ACTIVE,CHASSIS-SYN-000042,ENGINE-SYN-000042,TR10,dataset\NumberPlate_Annotated_Dataset-main\Images\TR10.jpg,SYNTHETIC_PROTOTYPE
VH-000043,HP12H7917,HP,Car,NO,Toyota,Innova,Yellow,Coastal Commercials,VALID,2028-08-01,VALID,2027-08-07,VALID,2027-07-11,VALID,2027-04-07,FT-000043,BLACKLISTED,ACTIVE,CHASSIS-SYN-000043,ENGINE-SYN-000043,HP11,dataset\NumberPlate_Annotated_Dataset-main\Images\HP11.jpg,SYNTHETIC_PROTOTYPE
VH-000044,UK06J3953,UK,Mini Truck,YES,Ashok Leyland,Dost,Red,National Route Logistics,VALID,2027-08-06,VALID,2027-01-07,VALID,2027-02-14,VALID,2026-11-21,FT-000044,ACTIVE,ACTIVE,CHASSIS-SYN-000044,ENGINE-SYN-000044,UK9,dataset\NumberPlate_Annotated_Dataset-main\Images\UK9.jpg,SYNTHETIC_PROTOTYPE
VH-000045,DN09J1548,DN,Bike,NO,Honda,Shine,Grey,Metro Transit,VALID,2028-09-09,VALID,2026-11-25,VALID,2027-04-29,VALID,2027-01-10,FT-000045,ACTIVE,ACTIVE,CHASSIS-SYN-000045,ENGINE-SYN-000045,DN2,dataset\NumberPlate_Annotated_Dataset-main\Images\DN2.jpg,SYNTHETIC_PROTOTYPE
VH-000046,JH10S5378,JH,Mini Truck,YES,Tata,407,Grey,Kaveri Transport,VALID,2026-12-30,VALID,2028-05-27,VALID,2027-04-19,VALID,2026-12-26,FT-000046,ACTIVE,ACTIVE,CHASSIS-SYN-000046,ENGINE-SYN-000046,JH16,dataset\NumberPlate_Annotated_Dataset-main\Images\JH16.jpg,SYNTHETIC_PROTOTYPE
VH-000047,GJ18BK6705,GJ,Truck,YES,Tata,Prima,Silver,Tamil Fleet Services,VALID,2029-02-26,VALID,2027-10-31,VALID,2027-02-26,VALID,2027-04-08,FT-000047,ACTIVE,ACTIVE,CHASSIS-SYN-000047,ENGINE-SYN-000047,GJ27,dataset\NumberPlate_Annotated_Dataset-main\Images\GJ27.jpg,SYNTHETIC_PROTOTYPE
VH-000048,ML068346,ML,Bus,YES,Ashok Leyland,Viking,Black,Coastal Commercials,VALID,2027-02-11,VALID,2028-03-02,VALID,2027-03-20,VALID,2027-03-20,FT-000048,ACTIVE,ACTIVE,CHASSIS-SYN-000048,ENGINE-SYN-000048,ML26,dataset\NumberPlate_Annotated_Dataset-main\Images\ML26.jpg,SYNTHETIC_PROTOTYPE
VH-000049,AS01AL3746,AS,Truck,YES,Ashok Leyland,AVTR,Silver,Chennai Cargo,VALID,2029-01-26,VALID,2028-03-12,VALID,2027-02-06,VALID,2026-12-10,FT-000049,ACTIVE,ACTIVE,CHASSIS-SYN-000049,ENGINE-SYN-000049,AS16,dataset\NumberPlate_Annotated_Dataset-main\Images\AS16.jpg,SYNTHETIC_PROTOTYPE
VH-000050,ML05F6894,ML,Car,NO,Maruti,Ertiga,Silver,Sri Lakshmi Logistics,VALID,2028-11-10,VALID,2028-06-08,VALID,2027-04-08,VALID,2027-02-18,FT-000050,ACTIVE,ACTIVE,CHASSIS-SYN-000050,ENGINE-SYN-000050,ML1,dataset\NumberPlate_Annotated_Dataset-main\Images\ML1.jpg,SYNTHETIC_PROTOTYPE
VH-000051,SK01PA4521,SK,Car,NO,Hyundai,Aura,White,Chennai Cargo,VALID,2029-01-03,VALID,2028-05-26,VALID,2027-04-13,VALID,2026-11-03,FT-000051,ACTIVE,ACTIVE,CHASSIS-SYN-000051,ENGINE-SYN-000051,SK4,dataset\NumberPlate_Annotated_Dataset-main\Images\SK4.jpg,SYNTHETIC_PROTOTYPE
VH-000052,UP14AF3804,UP,Car,NO,Hyundai,Aura,Blue,Coastal Commercials,VALID,2027-06-17,VALID,2028-02-20,VALID,2027-05-07,VALID,2027-08-01,FT-000052,ACTIVE,ACTIVE,CHASSIS-SYN-000052,ENGINE-SYN-000052,UP29,dataset\NumberPlate_Annotated_Dataset-main\Images\UP29.jpg,SYNTHETIC_PROTOTYPE
VH-000053,UP11AY0646,UP,Car,NO,Toyota,Innova,Yellow,Tamil Fleet Services,VALID,2028-10-20,VALID,2027-11-05,VALID,2027-05-20,VALID,2027-02-18,FT-000053,ACTIVE,ACTIVE,CHASSIS-SYN-000053,ENGINE-SYN-000053,UP22,dataset\NumberPlate_Annotated_Dataset-main\Images\UP22.jpg,SYNTHETIC_PROTOTYPE
VH-000054,AP07AD5555,AP,Bike,NO,Bajaj,Pulsar,Red,Metro Transit,VALID,2027-12-27,EXPIRED,2026-06-06,VALID,2026-12-22,VALID,2027-04-29,FT-000054,ACTIVE,ACTIVE,CHASSIS-SYN-000054,ENGINE-SYN-000054,AP24,dataset\NumberPlate_Annotated_Dataset-main\Images\AP24.jpg,SYNTHETIC_PROTOTYPE
VH-000055,AR02A7116,AR,Truck,YES,BharatBenz,3123R,Black,Southern Freight,VALID,2027-04-03,VALID,2027-10-20,VALID,2027-04-29,VALID,2027-06-09,FT-000055,INACTIVE,ACTIVE,CHASSIS-SYN-000055,ENGINE-SYN-000055,AR7,dataset\NumberPlate_Annotated_Dataset-main\Images\AR7.jpg,SYNTHETIC_PROTOTYPE
VH-000056,WB02AH4655,WB,Bike,NO,TVS,Apache,Grey,Tamil Fleet Services,VALID,2027-07-05,VALID,2028-01-18,VALID,2027-03-19,VALID,2027-01-08,FT-000056,ACTIVE,ACTIVE,CHASSIS-SYN-000056,ENGINE-SYN-000056,WB6,dataset\NumberPlate_Annotated_Dataset-main\Images\WB6.jpg,SYNTHETIC_PROTOTYPE
VH-000057,UP14AX9754,UP,Bike,NO,Honda,Shine,White,Southern Freight,VALID,2027-07-24,VALID,2027-04-11,VALID,2027-07-04,VALID,2027-04-09,FT-000057,ACTIVE,ACTIVE,CHASSIS-SYN-000057,ENGINE-SYN-000057,UP26,dataset\NumberPlate_Annotated_Dataset-main\Images\UP26.jpg,SYNTHETIC_PROTOTYPE
VH-000058,BR32PA6558,BR,Truck,YES,BharatBenz,3123R,Black,Coastal Commercials,VALID,2027-07-12,VALID,2027-01-08,VALID,2027-09-06,VALID,2026-11-18,FT-000058,ACTIVE,ACTIVE,CHASSIS-SYN-000058,ENGINE-SYN-000058,BR10,dataset\NumberPlate_Annotated_Dataset-main\Images\BR10.jpg,SYNTHETIC_PROTOTYPE
VH-000059,PB10CK5005,PB,Car,NO,Toyota,Innova,Red,Sri Lakshmi Logistics,VALID,2027-05-16,VALID,2028-05-24,EXPIRED,2026-05-27,VALID,2027-04-21,FT-000059,ACTIVE,ACTIVE,CHASSIS-SYN-000059,ENGINE-SYN-000059,PB25,dataset\NumberPlate_Annotated_Dataset-main\Images\PB25.jpg,SYNTHETIC_PROTOTYPE
VH-000060,AP16DP7065,AP,Mini Truck,YES,Mahindra,Bolero Pickup,Grey,National Route Logistics,VALID,2027-01-29,VALID,2026-11-21,EXPIRED,2026-06-17,VALID,2027-08-30,FT-000060,ACTIVE,ACTIVE,CHASSIS-SYN-000060,ENGINE-SYN-000060,AP8,dataset\NumberPlate_Annotated_Dataset-main\Images\AP8.jpg,SYNTHETIC_PROTOTYPE
VH-000061,MP07CB8897,MP,Truck,YES,Tata,Prima,Yellow,Kaveri Transport,EXPIRED,2026-08-30,VALID,2026-12-17,VALID,2027-07-11,VALID,2027-05-26,FT-000061,INACTIVE,ACTIVE,CHASSIS-SYN-000061,ENGINE-SYN-000061,MP11,dataset\NumberPlate_Annotated_Dataset-main\Images\MP11.jpg,SYNTHETIC_PROTOTYPE
VH-000062,MH12GR862,MH,Bus,YES,Volvo,9400,Silver,GreenLine Transport,VALID,2028-03-16,VALID,2027-07-03,VALID,2026-10-28,VALID,2026-12-18,FT-000062,KYC_PENDING,ACTIVE,CHASSIS-SYN-000062,ENGINE-SYN-000062,MH16,dataset\NumberPlate_Annotated_Dataset-main\Images\MH16.jpg,SYNTHETIC_PROTOTYPE
VH-000063,JK03D7750,JK,Truck,YES,Ashok Leyland,AVTR,Black,GreenLine Transport,VALID,2026-10-22,VALID,2028-08-08,EXPIRED,2026-06-20,VALID,2027-09-10,FT-000063,INACTIVE,ACTIVE,CHASSIS-SYN-000063,ENGINE-SYN-000063,JK11,dataset\NumberPlate_Annotated_Dataset-main\Images\JK11.jpg,SYNTHETIC_PROTOTYPE
VH-000064,JH02AD2533,JH,Truck,YES,Ashok Leyland,AVTR,Grey,Coastal Commercials,VALID,2028-07-21,VALID,2027-10-27,VALID,2027-04-08,EXPIRED,2026-08-21,FT-000064,ACTIVE,ACTIVE,CHASSIS-SYN-000064,ENGINE-SYN-000064,JH10,dataset\NumberPlate_Annotated_Dataset-main\Images\JH10.jpg,SYNTHETIC_PROTOTYPE
VH-000065,AR01C5723,AR,Car,NO,Hyundai,Aura,Red,National Route Logistics,VALID,2028-07-03,VALID,2028-09-16,VALID,2026-12-29,EXPIRED,2026-08-08,FT-000065,ACTIVE,ACTIVE,CHASSIS-SYN-000065,ENGINE-SYN-000065,AR4,dataset\NumberPlate_Annotated_Dataset-main\Images\AR4.jpg,SYNTHETIC_PROTOTYPE
VH-000066,CH01AL4920,CH,Bus,YES,Tata,Starbus,Red,Apex Logistics,VALID,2028-11-04,VALID,2027-12-30,VALID,2027-03-27,VALID,2027-05-01,FT-000066,ACTIVE,ACTIVE,CHASSIS-SYN-000066,ENGINE-SYN-000066,CH7,dataset\NumberPlate_Annotated_Dataset-main\Images\CH7.jpg,SYNTHETIC_PROTOTYPE
VH-000067,OR14U8730,OR,Bike,NO,Honda,Shine,Black,Coastal Commercials,VALID,2027-01-09,VALID,2027-09-20,VALID,2026-11-09,VALID,2027-05-05,FT-000067,ACTIVE,ACTIVE,CHASSIS-SYN-000067,ENGINE-SYN-000067,OD16,dataset\NumberPlate_Annotated_Dataset-main\Images\OD16.jpg,SYNTHETIC_PROTOTYPE
VH-000068,TR03F0375,TR,Truck,YES,Tata,Prima,Silver,Southern Freight,VALID,2028-08-17,VALID,2027-02-14,VALID,2027-04-28,VALID,2027-08-02,FT-000068,ACTIVE,ACTIVE,CHASSIS-SYN-000068,ENGINE-SYN-000068,TR7,dataset\NumberPlate_Annotated_Dataset-main\Images\TR7.jpg,SYNTHETIC_PROTOTYPE
VH-000069,TN02AU9295,TN,Bus,YES,Ashok Leyland,Viking,Silver,Southern Freight,VALID,2028-11-28,VALID,2027-11-30,VALID,2027-05-20,VALID,2026-11-14,FT-000069,ACTIVE,ACTIVE,CHASSIS-SYN-000069,ENGINE-SYN-000069,TN3,dataset\NumberPlate_Annotated_Dataset-main\Images\TN3.jpg,SYNTHETIC_PROTOTYPE
VH-000070,AP31DF2833,AP,Mini Truck,YES,Ashok Leyland,Dost,Red,GreenLine Transport,VALID,2027-06-01,VALID,2027-06-26,VALID,2027-06-13,VALID,2026-11-19,FT-000070,ACTIVE,ACTIVE,CHASSIS-SYN-000070,ENGINE-SYN-000070,AP29,dataset\NumberPlate_Annotated_Dataset-main\Images\AP29.jpg,SYNTHETIC_PROTOTYPE
