transaction_id,registration_number,fastag_id,toll_plaza,timestamp,transaction_status,amount,event_type
FT-TXN-000037,TR01N0481,FT-000037,Coimbatore Toll Plaza,2026-09-22T17:10:00,EXCEPTION,79.89,NORMAL
FT-TXN-000038,DL6CJ8404,FT-000038,Tirunelveli Toll Plaza,2026-09-22T10:07:00,SUCCESS,126.42,NORMAL
FT-TXN-000039,CH01BQ5604,FT-000039,Coimbatore Toll Plaza,2026-09-22T13:03:00,SUCCESS,86.72,NORMAL
FT-TXN-000040,AP39GR3492,FT-000040,Coimbatore Toll Plaza,2026-09-22T08:28:00,SUCCESS,109.08,NORMAL
FT-TXN-000041,MN01G0297,FT-000041,Coimbatore Toll Plaza,2026-09-22T11:04:00,SUCCESS,96.79,NORMAL
FT-TXN-000042,TR07D0569,FT-000042,Trichy Toll Plaza,2026-09-22T16:17:00,SUCCESS,68.39,NORMAL
FT-TXN-000043,HP12H7917,FT-000043,Coimbatore Toll Plaza,2026-09-22T11:48:00,EXCEPTION,169.1,NORMAL
FT-TXN-000044,UK06J3953,FT-000044,Madurai Toll Plaza,2026-09-22T11:58:00,SUCCESS,85.47,NORMAL
FT-TXN-000045,DN09J1548,FT-000045,Trichy Toll Plaza,2026-09-22T15:20:00,SUCCESS,161.58,NORMAL
FT-TXN-000046,JH10S5378,FT-000046,Tirunelveli Toll Plaza,2026-09-22T13:03:00,SUCCESS,164.13,NORMAL
FT-TXN-000047,GJ18BK6705,FT-000047,Salem Toll Plaza,2026-09-22T12:06:00,SUCCESS,122.4,NORMAL
FT-TXN-000048,ML068346,FT-000048,Madurai Toll Plaza,2026-09-22T10:32:00,SUCCESS,139.35,NORMAL
FT-TXN-000049,AS01AL3746,FT-000049,Madurai Toll Plaza,2026-09-22T17:53:00,SUCCESS,69.79,NORMAL
FT-TXN-000050,ML05F6894,FT-000050,Madurai Toll Plaza,2026-09-22T19:26:00,SUCCESS,46.07,NORMAL
FT-TXN-000051,SK01PA4521,FT-000051,Chennai Toll Plaza,2026-09-22T14:31:00,SUCCESS,104.89,NORMAL
FT-TXN-000052,UP14AF3804,FT-000052,Coimbatore Toll Plaza,2026-09-22T19:36:00,SUCCESS,61.67,NORMAL
FT-TXN-000053,UP11AY0646,FT-000053,Vellore Toll Plaza,2026-09-22T14:03:00,SUCCESS,210.4,NORMAL
FT-TXN-000054,AP07AD5555,FT-000054,Madurai Toll Plaza,2026-09-22T17:14:00,SUCCESS,49.8,NORMAL
FT-TXN-000055,AR02A7116,FT-000055,Coimbatore Toll Plaza,2026-09-22T08:08:00,EXCEPTION,204.46,NORMAL
FT-TXN-000056,WB02AH4655,FT-000056,Tirunelveli Toll Plaza,2026-09-22T12:45:00,SUCCESS,120.3,NORMAL
FT-TXN-000057,UP14AX9754,FT-000057,Trichy Toll Plaza,2026-09-22T19:26:00,SUCCESS,119.49,NORMAL
FT-TXN-000058,BR32PA6558,FT-000058,Madurai Toll Plaza,2026-09-22T08:53:00,SUCCESS,214.65,NORMAL
FT-TXN-000059,PB10CK5005,FT-000059,Salem Toll Plaza,2026-09-22T12:10:00,SUCCESS,112.88,NORMAL
FT-TXN-000060,AP16DP7065,FT-000060,Thanjavur Toll Plaza,2026-09-22T10:48:00,SUCCESS,119.8,NORMAL
FT-TXN-000061,MP07CB8897,FT-000061,Trichy Toll Plaza,2026-09-22T10:50:00,EXCEPTION,86.59,NORMAL
FT-TXN-000062,MH12GR862,FT-000062,Tirunelveli Toll Plaza,2026-09-22T15:04:00,EXCEPTION,213.83,NORMAL
FT-TXN-000063,JK03D7750,FT-000063,Tirunelveli Toll Plaza,2026-09-22T16:33:00,EXCEPTION,135.95,NORMAL
FT-TXN-000064,JH02AD2533,FT-000064,Trichy Toll Plaza,2026-09-22T15:52:00,SUCCESS,129.75,NORMAL
FT-TXN-000065,AR01C5723,FT-000065,Vellore Toll Plaza,2026-09-22T08:07:00,SUCCESS,70.08,NORMAL
FT-TXN-000066,CH01AL4920,FT-000066,Trichy Toll Plaza,2026-09-22T11:07:00,SUCCESS,66.1,NORMAL
FT-TXN-000067,OR14U8730,FT-000067,Madurai Toll Plaza,2026-09-22T16:54:00,SUCCESS,60.38,NORMAL
FT-TXN-000068,TR03F0375,FT-000068,Madurai Toll Plaza,2026-09-22T10:13:00,SUCCESS,80.61,NORMAL
FT-TXN-000069,TN02AU9295,FT-000069,Madurai Toll Plaza,2026-09-22T10:29:00,SUCCESS,199.89,NORMAL
FT-TXN-000070,AP31DF2833,FT-000070,Vellore Toll Plaza,2026-09-22T19:38:00,SUCCESS,182.34,NORMAL
FT-TXN-000071,DN0901438,FT-000071,Coimbatore Toll Plaza,2026-09-22T17:27:00,SUCCESS,211.19,NORMAL
FT-TXN-000072,JH05Y9636,FT-000072,Salem Toll Plaza,2026-09-22T13:13:00,SUCCESS,54.04,NORMAL
FT-TXN-000073,PY01CG2929,FT-000073,Chennai Toll Plaza,2026-09-22T09:44:00,SUCCESS,167.0,NORMAL
FT-TXN-000074,BR01BE0777,FT-000074,Tirunelveli Toll Plaza,2026-09-22T19:51:00,EXCEPTION,145.26,NORMAL
FT-TXN-000075,CG04HV7009,FT-000075,Vellore Toll Plaza,2026-09-22T12:51:00,SUCCESS,106.86,NORMAL
FT-TXN-000076,HR26DJ8832,FT-000076,Coimbatore Toll Plaza,2026-09-22T11:52:00,EXCEPTION,197.15,NORMAL
FT-TXN-000077,PB10CQ0006,FT-000077,Madurai Toll Plaza,2026-09-22T19:52:00,SUCCESS,210.54,NORMAL
FT-TXN-000078,DL8CZ7230,FT-000078,Tirunelveli Toll Plaza,2026-09-22T15:06:00,EXCEPTION,121.85,NORMAL
FT-TXN-000079,CG04HC4887,FT-000079,Madurai Toll Plaza,2026-09-22T16:28:00,SUCCESS,90.62,NORMAL
FT-TXN-000080,GJ01RM3413,FT-000080,Trichy Toll Plaza,2026-09-22T09:11:00,SUCCESS,148.78,NORMAL
FT-TXN-000081,AP5CG6320,FT-000081,Madurai Toll Plaza,2026-09-22T08:14:00,SUCCESS,83.34,NORMAL
FT-TXN-000082,PY036993,FT-000082,Vellore Toll Plaza,2026-09-22T13:57:00,SUCCESS,189.05,NORMAL
FT-TXN-000083,PY05A8339,FT-000083,Tirunelveli Toll Plaza,2026-09-22T16:37:00,SUCCESS,167.92,NORMAL
FT-TXN-000084,AS12S6951,FT-000084,Trichy Toll Plaza,2026-09-22T08:58:00,SUCCESS,164.4,NORMAL
FT-TXN-000085,WB02A03017,FT-000085,Thanjavur Toll Plaza,2026-09-22T10:16:00,SUCCESS,167.35,NORMAL
FT-TXN-000086,HR26DM2296,FT-000086,Vellore Toll Plaza,2026-09-22T13:32:00,SUCCESS,60.92,NORMAL
FT-TXN-000087,MH47N0712,FT-000087,Chennai Toll Plaza,2026-09-22T18:32:00,SUCCESS,169.69,NORMAL
FT-TXN-000088,OD02C2836,FT-000088,Thanjavur Toll Plaza,2026-09-22T11:20:00,SUCCESS,119.07,NORMAL
FT-TXN-000089,JK03A8042,FT-000089,Chennai Toll Plaza,2026-09-22T10:01:00,SUCCESS,176.1,NORMAL
FT-TXN-000090,UP78ED0449,FT-000090,Trichy Toll Plaza,2026-09-22T08:02:00,SUCCESS,219.46,NORMAL
FT-TXN-000091,JH10BV1496,FT-000091,Tirunelveli Toll Plaza,2026-09-22T18:05:00,SUCCESS,99.94,NORMAL
FT-TXN-000092,MH04HF5092,FT-000092,Tirunelveli Toll Plaza,2026-09-22T08:56:00,SUCCESS,190.83,NORMAL
FT-TXN-000093,DL1CS8739,FT-000093,Tirunelveli Toll Plaza,2026-09-22T14:35:00,SUCCESS,123.07,NORMAL
FT-TXN-000094,HP23A6365,FT-000094,Tirunelveli Toll Plaza,2026-09-22T15:03:00,EXCEPTION,169.72,NORMAL
FT-TXN-000095,OD14B7432,FT-000095,Coimbatore Toll Plaza,2026-09-22T08:23:00,SUCCESS,150.85,NORMAL
FT-TXN-000096,ML10B4503,FT-000096,Coimbatore Toll Plaza,2026-09-22T14:06:00,SUCCESS,175.16,NORMAL
FT-TXN-000097,GA01E5947,FT-000097,Coimbatore Toll Plaza,2026-09-22T16:02:00,SUCCESS,66.9,NORMAL
FT-TXN-000098,AP2D4014,FT-000098,Chennai Toll Plaza,2026-09-22T11:27:00,SUCCESS,165.77,NORMAL
FT-TXN-000099,PB10EH0164,FT-000099,Tirunelveli Toll Plaza,2026-09-22T14:15:00,SUCCESS,90.16,NORMAL
FT-TXN-000100,ML1032811,FT-000100,Thanjavur Toll Plaza,2026-09-22T12:10:00,SUCCESS,57.7,NORMAL
FT-TXN-000101,GJ05JB6589,FT-000101,Trichy Toll Plaza,2026-09-22T14:42:00,SUCCESS,176.24,NORMAL
FT-TXN-000102,JK13C4452,FT-000102,Trichy Toll Plaza,2026-09-22T13:11:00,SUCCESS,103.28,NORMAL
FT-TXN-000103,JK127959,FT-000103,Coimbatore Toll Plaza,2026-09-22T08:40:00,SUCCESS,159.82,NORMAL
FT-TXN-000104,CG04H5060,FT-000104,Coimbatore Toll Plaza,2026-09-22T13:30:00,SUCCESS,202.13,NORMAL
FT-TXN-000105,WB06J9177,FT-000105,Madurai Toll Plaza,2026-09-22T14:41:00,SUCCESS,159.04,NORMAL
FT-TXN-000106,KA28M3589,FT-000106,Salem Toll Plaza,2026-09-22T08:33:00,SUCCESS,146.53,NORMAL
FT-TXN-000107,TS08EZ9463,FT-000107,Thanjavur Toll Plaza,2026-09-22T19:05:00,SUCCESS,134.37,NORMAL
FT-TXN-000108,DL8CAU6883,FT-000108,Tirunelveli Toll Plaza,2026-09-22T09:56:00,SUCCESS,114.14,NORMAL
FT-TXN-000109,WB02W9S3S,FT-000109,Trichy Toll Plaza,2026-09-22T15:50:00,SUCCESS,88.9,NORMAL
FT-TXN-000110,HR56B2626,FT-000110,Tirunelveli Toll Plaza,2026-09-22T16:01:00,SUCCESS,146.0,NORMAL
FT-TXN-000111,KL0BBJ5001,FT-000111,Thanjavur Toll Plaza,2026-09-22T09:37:00,SUCCESS,58.26,NORMAL
FT-TXN-000112,WB02X8795,FT-000112,Madurai Toll Plaza,2026-09-22T11:50:00,SUCCESS,55.27,NORMAL
FT-TXN-000113,AP16CH9545,FT-000113,Thanjavur Toll Plaza,2026-09-22T11:29:00,SUCCESS,162.69,NORMAL
FT-TXN-000114,AP39TP0211,FT-000114,Chennai Toll Plaza,2026-09-22T09:14:00,SUCCESS,72.64,NORMAL
FT-TXN-000115,AP04M7627,FT-000115,Vellore Toll Plaza,2026-09-22T18:01:00,SUCCESS,166.3,NORMAL
FT-TXN-000116,UP32EC5577,FT-000116,Coimbatore Toll Plaza,2026-09-22T17:53:00,SUCCESS,144.73,NORMAL
FT-TXN-000117,KL45C4411,FT-000117,Tirunelveli Toll Plaza,2026-09-22T13:59:00,SUCCESS,67.44,NORMAL
FT-TXN-000118,AS01AR1986,FT-000118,Trichy Toll Plaza,2026-09-22T15:05:00,SUCCESS,109.85,NORMAL
FT-TXN-000119,BR01BD5042,FT-000119,Trichy Toll Plaza,2026-09-22T14:14:00,SUCCESS,102.63,NORMAL
FT-TXN-000120,AP31BG7827,FT-000120,Tirunelveli Toll Plaza,2026-09-22T15:21:00,SUCCESS,76.88,NORMAL
FT-TXN-000121,AS23H0770,FT-000121,Thanjavur Toll Plaza,2026-09-22T09:52:00,SUCCESS,196.66,NORMAL
FT-TXN-000122,AN01M4M,FT-000122,Thanjavur Toll Plaza,2026-09-22T12:59:00,SUCCESS,127.47,NORMAL
FT-TXN-000123,WB08A4101,FT-000123,Vellore Toll Plaza,2026-09-22T10:41:00,SUCCESS,108.29,NORMAL
FT-TXN-000124,KA04MK312,FT-000124,Trichy Toll Plaza,2026-09-22T12:24:00,EXCEPTION,120.0,NORMAL
FT-TXN-000125,WB061061,FT-000125,Tirunelveli Toll Plaza,2026-09-22T15:48:00,SUCCESS,197.09,NORMAL
FT-TXN-000126,AR048395,FT-000126,Vellore Toll Plaza,2026-09-22T17:26:00,SUCCESS,181.75,NORMAL
FT-TXN-000127,RJ23CB2272,FT-000127,Coimbatore Toll Plaza,2026-09-22T12:21:00,SUCCESS,204.0,NORMAL
FT-TXN-000128,MP45G0872,FT-000128,Madurai Toll Plaza,2026-09-22T14:18:00,SUCCESS,142.1,NORMAL
FT-TXN-000129,KL43G6619,FT-000129,Trichy Toll Plaza,2026-09-22T09:55:00,SUCCESS,182.53,NORMAL
FT-TXN-000130,DL10C05520,FT-000130,Madurai Toll Plaza,2026-09-22T09:15:00,EXCEPTION,200.66,NORMAL
FT-TXN-000131,DN09H0968,FT-000131,Thanjavur Toll Plaza,2026-09-22T16:06:00,SUCCESS,85.8,NORMAL
FT-TXN-000132,MH11CQ8516,FT-000132,Tirunelveli Toll Plaza,2026-09-22T13:41:00,SUCCESS,161.07,NORMAL
FT-TXN-000133,PB11BN6101,FT-000133,Vellore Toll Plaza,2026-09-22T17:35:00,SUCCESS,144.5,NORMAL
FT-TXN-000134,HP54C6564,FT-000134,Madurai Toll Plaza,2026-09-22T15:10:00,EXCEPTION,183.62,NORMAL
FT-TXN-000135,NL02C3947,FT-000135,Thanjavur Toll Plaza,2026-09-22T15:44:00,SUCCESS,166.56,NORMAL
FT-TXN-000136,KA38M8037,FT-000136,Salem Toll Plaza,2026-09-22T10:36:00,SUCCESS,203.74,NORMAL
FT-TXN-000137,DL10CA0986,FT-000137,Tirunelveli Toll Plaza,2026-09-22T17:47:00,SUCCESS,109.68,NORMAL
FT-TXN-000138,UK106679,FT-000138,Coimbatore Toll Plaza,2026-09-22T08:13:00,SUCCESS,206.93,NORMAL
FT-TXN-000139,JK09B7745,FT-000139,Coimbatore Toll Plaza,2026-09-22T09:28:00,SUCCESS,210.59,NORMAL
FT-TXN-000140,HR29R9466,FT-000140,Madurai Toll Plaza,2026-09-22T09:03:00,SUCCESS,63.29,NORMAL
FT-TXN-000141,DL9CAP8884,FT-000141,Tirunelveli Toll Plaza,2026-09-22T09:02:00,SUCCESS,201.82,NORMAL
FT-TXN-000142,PY01CE4149,FT-000142,Thanjavur Toll Plaza,2026-09-22T19:04:00,SUCCESS,88.83,NORMAL
FT-TXN-000143,UK185763,FT-000143,Tirunelveli Toll Plaza,2026-09-22T10:54:00,SUCCESS,184.39,NORMAL
FT-TXN-000144,HP12H1324,FT-000144,Salem Toll Plaza,2026-09-22T12:27:00,SUCCESS,214.11,NORMAL
FT-TXN-000145,CH01AZ2642,FT-000145,Chennai Toll Plaza,2026-09-22T08:34:00,SUCCESS,92.17,NORMAL
FT-TXN-000146,JH02AH0750,FT-000146,Salem Toll Plaza,2026-09-22T10:51:00,SUCCESS,164.44,NORMAL
FT-TXN-000147,UK07055789,FT-000147,Madurai Toll Plaza,2026-09-22T14:08:00,SUCCESS,68.6,NORMAL
FT-TXN-000148,KA51ML4025,FT-000148,Coimbatore Toll Plaza,2026-09-22T15:43:00,SUCCESS,118.83,NORMAL
FT-TXN-000149,WB02AJ4534,FT-000149,Vellore Toll Plaza,2026-09-22T10:59:00,SUCCESS,177.8,NORMAL
FT-TXN-000150,AP31BR9501,FT-000150,Chennai Toll Plaza,2026-09-22T17:50:00,SUCCESS,146.71,NORMAL
FT-TXN-000151,KA53P7604,FT-000151,Coimbatore Toll Plaza,2026-09-22T17:40:00,SUCCESS,111.22,NORMAL
FT-TXN-000152,GA03Y9512,FT-000152,Madurai Toll Plaza,2026-09-22T14:25:00,SUCCESS,169.62,NORMAL
FT-TXN-000153,PB08DT7342,FT-000153,Thanjavur Toll Plaza,2026-09-22T16:03:00,SUCCESS,50.13,NORMAL
FT-TXN-000154,BR33M0001,FT-000154,Salem Toll Plaza,2026-09-22T09:16:00,SUCCESS,217.94,NORMAL
FT-TXN-000155,SK01T3794,FT-000155,Chennai Toll Plaza,2026-09-22T12:10:00,SUCCESS,166.45,NORMAL
FT-TXN-000156,ML04C4738,FT-000156,Chennai Toll Plaza,2026-09-22T12:56:00,SUCCESS,180.47,NORMAL
FT-TXN-000157,PB02DY7380,FT-000157,Thanjavur Toll Plaza,2026-09-22T08:49:00,SUCCESS,101.72,NORMAL
FT-TXN-000158,TN69AJ4455,FT-000158,Trichy Toll Plaza,2026-09-22T17:07:00,SUCCESS,198.93,NORMAL
FT-TXN-000159,GJ01KC9959,FT-000159,Tirunelveli Toll Plaza,2026-09-22T12:14:00,SUCCESS,211.29,NORMAL
FT-TXN-000160,PB10EE0888,FT-000160,Vellore Toll Plaza,2026-09-22T08:55:00,SUCCESS,138.92,NORMAL
FT-TXN-000161,BR01AZ6290,FT-000161,Coimbatore Toll Plaza,2026-09-22T16:38:00,SUCCESS,174.05,NORMAL
FT-TXN-000162,ML137827,FT-000162,Tirunelveli Toll Plaza,2026-09-22T08:00:00,SUCCESS,157.21,NORMAL
FT-TXN-000163,TR05B0308,FT-000163,Chennai Toll Plaza,2026-09-22T11:34:00,SUCCESS,45.13,NORMAL
FT-TXN-000164,HP64B3380,FT-000164,Coimbatore Toll Plaza,2026-09-22T15:32:00,SUCCESS,168.14,NORMAL
FT-TXN-000165,WB171717,FT-000165,Tirunelveli Toll Plaza,2026-09-22T14:01:00,SUCCESS,64.78,NORMAL
FT-TXN-000166,UP78DB3730,FT-000166,Madurai Toll Plaza,2026-09-22T08:15:00,SUCCESS,191.35,NORMAL
FT-TXN-000167,GA02J2129,FT-000167,Coimbatore Toll Plaza,2026-09-22T16:06:00,SUCCESS,206.61,NORMAL
FT-TXN-000168,AP31BL2833,FT-000168,Thanjavur Toll Plaza,2026-09-22T10:43:00,SUCCESS,171.64,NORMAL
FT-TXN-000169,AN01P9687,FT-000169,Chennai Toll Plaza,2026-09-22T10:16:00,SUCCESS,182.46,NORMAL
FT-TXN-000170,AS01BS4362,FT-000170,Trichy Toll Plaza,2026-09-22T17:42:00,SUCCESS,62.71,NORMAL
FT-TXN-000171,HP12C3766,FT-000171,Thanjavur Toll Plaza,2026-09-22T13:47:00,SUCCESS,166.57,NORMAL
FT-TXN-000172,DL3CCK8019,FT-000172,Madurai Toll Plaza,2026-09-22T19:42:00,SUCCESS,200.9,NORMAL
FT-TXN-000173,ML064696,FT-000173,Vellore Toll Plaza,2026-09-22T11:58:00,SUCCESS,58.58,NORMAL
FT-TXN-000174,CG07MA7848,FT-000174,Vellore Toll Plaza,2026-09-22T13:33:00,SUCCESS,58.77,NORMAL
FT-TXN-000175,SK01PA5349,FT-000175,Thanjavur Toll Plaza,2026-09-22T08:56:00,SUCCESS,102.98,NORMAL
FT-TXN-000176,DL1CT2782,FT-000176,Vellore Toll Plaza,2026-09-22T12:16:00,SUCCESS,158.72,NORMAL
FT-TXN-000177,ML05J8950,FT-000177,Madurai Toll Plaza,2026-09-22T09:55:00,SUCCESS,191.65,NORMAL
FT-TXN-000178,ML05G3474,FT-000178,Vellore Toll Plaza,2026-09-22T15:03:00,SUCCESS,74.27,NORMAL
FT-TXN-000179,MZ01G9825,FT-000179,Vellore Toll Plaza,2026-09-22T18:44:00,SUCCESS,102.71,NORMAL
FT-TXN-000180,KA19MF1763,FT-000180,Thanjavur Toll Plaza,2026-09-22T14:51:00,SUCCESS,53.03,NORMAL
FT-TXN-000181,DL40NA7238,FT-000181,Tirunelveli Toll Plaza,2026-09-22T09:54:00,EXCEPTION,152.3,NORMAL
FT-TXN-000182,AS06Z0841,FT-000182,Vellore Toll Plaza,2026-09-22T10:33:00,SUCCESS,87.36,NORMAL
FT-TXN-000183,HR26CC7676,FT-000183,Chennai Toll Plaza,2026-09-22T15:48:00,SUCCESS,166.98,NORMAL
FT-TXN-000184,GJ18BD5216,FT-000184,Coimbatore Toll Plaza,2026-09-22T14:47:00,SUCCESS,158.76,NORMAL
FT-TXN-000185,UP32KW7325,FT-000185,Thanjavur Toll Plaza,2026-09-22T10:39:00,EXCEPTION,201.33,NORMAL
FT-TXN-000186,DL9CAV1739,FT-000186,Chennai Toll Plaza,2026-09-22T14:34:00,SUCCESS,62.9,NORMAL
FT-TXN-000187,WB06J4432,FT-000187,Coimbatore Toll Plaza,2026-09-22T10:07:00,SUCCESS,119.73,NORMAL
FT-TXN-000188,JH01AM0100,FT-000188,Coimbatore Toll Plaza,2026-09-22T13:54:00,SUCCESS,165.45,NORMAL
FT-TXN-000189,JK01AF0310,FT-000189,Thanjavur Toll Plaza,2026-09-22T08:51:00,SUCCESS,163.34,NORMAL
FT-TXN-000190,HP36E3330,FT-000190,Vellore Toll Plaza,2026-09-22T18:25:00,SUCCESS,126.73,NORMAL
FT-TXN-000191,GJ23CC8798,FT-000191,Coimbatore Toll Plaza,2026-09-22T14:02:00,SUCCESS,68.48,NORMAL
FT-TXN-000192,PY01AH9067,FT-000192,Chennai Toll Plaza,2026-09-22T19:40:00,SUCCESS,213.81,NORMAL
FT-TXN-000193,OR05AC0422,FT-000193,Trichy Toll Plaza,2026-09-22T10:02:00,SUCCESS,79.83,NORMAL
FT-TXN-000194,SK05T0338,FT-000194,Chennai Toll Plaza,2026-09-22T18:27:00,SUCCESS,202.9,NORMAL
FT-TXN-000195,OD14E3131,FT-000195,Tirunelveli Toll Plaza,2026-09-22T13:49:00,SUCCESS,162.99,NORMAL
FT-TXN-000196,PB07BY3563,FT-000196,Chennai Toll Plaza,2026-09-22T08:17:00,SUCCESS,145.23,NORMAL
FT-TXN-000197,BR44E1206,FT-000197,Trichy Toll Plaza,2026-09-22T18:25:00,SUCCESS,47.45,NORMAL
FT-TXN-000198,TS09UA7948,FT-000198,Chennai Toll Plaza,2026-09-22T18:29:00,SUCCESS,78.92,NORMAL
FT-TXN-000199,JK11B4928,FT-000199,Vellore Toll Plaza,2026-09-22T10:13:00,SUCCESS,154.79,NORMAL
FT-TXN-000200,KL16U8863,FT-000200,Thanjavur Toll Plaza,2026-09-22T10:24:00,SUCCESS,49.36,NORMAL
FT-TXN-000201,HR01W0080,FT-000201,Tirunelveli Toll Plaza,2026-09-22T13:20:00,SUCCESS,77.25,NORMAL
FT-TXN-000202,ML10C2674,FT-000202,Madurai Toll Plaza,2026-09-22T16:25:00,SUCCESS,166.85,NORMAL
FT-TXN-000203,WB26K2760,FT-000203,Madurai Toll Plaza,2026-09-22T12:01:00,SUCCESS,129.58,NORMAL
FT-TXN-000204,SK01PB5004,FT-000204,Trichy Toll Plaza,2026-09-22T11:11:00,SUCCESS,57.54,NORMAL
FT-TXN-000205,PB10DV5354,FT-000205,Coimbatore Toll Plaza,2026-09-22T08:35:00,SUCCESS,187.6,NORMAL
FT-TXN-000206,UP79L0567,FT-000206,Tirunelveli Toll Plaza,2026-09-22T15:40:00,SUCCESS,72.3,NORMAL
FT-TXN-000207,TR01AS0609,FT-000207,Tirunelveli Toll Plaza,2026-09-22T20:00:00,SUCCESS,158.74,NORMAL
FT-TXN-000208,ML05K9494,FT-000208,Chennai Toll Plaza,2026-09-22T10:22:00,SUCCESS,50.37,NORMAL
FT-TXN-000209,KA05MF1762,FT-000209,Madurai Toll Plaza,2026-09-22T09:53:00,SUCCESS,71.85,NORMAL
