image_id,image_filename,image_path,xml_filename,xml_path,license_number,state_code,width,height,depth,xmin,xmax,ymin,ymax,xml_license_number,status
TS6,TS6.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TS6.jpg,TS6.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TS6.xml,TS18T3899,TS,272,204,3,110,155,145,156,TS18T3899,OK
ML30,ML30.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML30.jpg,ML30.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML30.xml,ML05C5389,ML,167,363,3,49,106,222,236,ML05C5389,OK
HP14,HP14.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HP14.jpg,HP14.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HP14.xml,HP3SG1539,HP,272,363,3,98,199,256,271,HP3SG1539,OK
ML12,ML12.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML12.jpg,ML12.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML12.xml,ML05F9854,ML,272,204,3,105,182,163,181,ML05F9854,OK
AR11,AR11.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AR11.jpg,AR11.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AR11.xml,AR01J0123,AR,272,597,3,26,217,415,447,AR01J0123,OK
BR9,BR9.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\BR9.jpg,BR9.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\BR9.xml,BR01AW1250,BR,272,363,3,168,218,219,240,BR01AW1250,OK
PB2,PB2.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PB2.jpg,PB2.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PB2.xml,PB04S4253,PB,272,363,3,112,173,213,225,PB04S4253,OK
JK1,JK1.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JK1.jpg,JK1.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JK1.xml,JK02BF5058,JK,272,363,3,101,185,209,231,JK02BF5058,OK
PB26,PB26.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PB26.jpg,PB26.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PB26.xml,PB04T0678,PB,272,363,3,23,92,244,295,PB04T0678,OK
ML2,ML2.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML2.jpg,ML2.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML2.xml,ML05Q8790,ML,272,363,3,89,189,247,265,ML05Q8790,OK
BR11,BR11.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\BR11.jpg,BR11.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\BR11.xml,BR02AF7424,BR,272,363,3,77,141,211,225,BR02AF7424,OK
CG7,CG7.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\CG7.jpg,CG7.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\CG7.xml,CG08K2057,CG,272,575,3,76,165,372,390,CG08K2057,OK
AR3,AR3.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AR3.jpg,AR3.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AR3.xml,AR169723,AR,272,363,3,54,97,234,261,AR169723,OK
KL7,KL7.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\KL7.jpg,KL7.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\KL7.xml,KL41M93,KL,272,204,3,113,162,134,146,KL41M93,OK
DL20,DL20.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DL20.jpg,DL20.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DL20.xml,DL12CL2555,DL,272,204,3,107,175,115,130,DL12CL2555,OK
JH17,JH17.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JH17.jpg,JH17.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JH17.xml,JH01AR2011,JH,270,184,3,108,161,143,155,JH01AR2011,OK
PY2,PY2.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PY2.jpg,PY2.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PY2.xml,PY01CM9549,PY,269,333,3,91,189,264,285,PY01CM9549,OK
DL38,DL38.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DL38.jpg,DL38.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DL38.xml,DL4CAQ3231,DL,272,204,3,101,166,145,160,DL4CAQ3231,OK
JH15,JH15.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JH15.jpg,JH15.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JH15.xml,JH08C0625,JH,272,204,3,92,178,127,146,JH08C0625,OK
CG20,CG20.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\CG20.jpg,CG20.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\CG20.xml,CG251612,CG,272,204,3,73,136,126,140,CG251612,OK
PY14,PY14.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PY14.jpg,PY14.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PY14.xml,PY01CV2447,PY,272,363,3,121,183,224,252,PY01CV2447,OK
CG18,CG18.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\CG18.jpg,CG18.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\CG18.xml,CG07CA7784,CG,272,363,3,111,212,247,288,CG07CA7784,OK
OD23,OD23.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\OD23.jpg,OD23.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\OD23.xml,OR21E1033,OR,193,153,3,108,161,118,129,OR21E1033,OK
AP12,AP12.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AP12.jpg,AP12.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AP12.xml,AP310U7562,AP,272,363,3,77,132,226,248,AP310U7562,OK
TN1,TN1.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TN1.jpg,TN1.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TN1.xml,TN63BV7954,TN,272,363,3,107,162,222,238,TN63BV7954,OK
JK3,JK3.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JK3.jpg,JK3.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JK3.xml,JK02BL1212,JK,272,204,3,104,171,169,185,JK02BL1212,OK
TR4,TR4.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TR4.jpg,TR4.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TR4.xml,TR01N0481,TR,272,204,3,102,164,148,163,TR01N0481,OK
DL1,DL1.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DL1.jpg,DL1.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DL1.xml,DL6CJ8404,DL,272,363,3,89,176,235,255,DL6CJ8404,OK
CH1,CH1.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\CH1.jpg,CH1.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\CH1.xml,CH01BQ5604,CH,272,174,3,34,69,132,145,CH01BQ5604,OK
AP16,AP16.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AP16.jpg,AP16.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AP16.xml,AP39GR3492,AP,272,153,3,104,154,127,138,AP39GR3492,OK
MN3,MN3.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\MN3.jpg,MN3.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\MN3.xml,MN01G0297,MN,272,363,3,81,150,175,191,MN01G0297,OK
TR10,TR10.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TR10.jpg,TR10.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TR10.xml,TR07D0569,TR,272,604,3,93,185,329,348,TR07D0569,OK
HP11,HP11.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HP11.jpg,HP11.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HP11.xml,HP12H7917,HP,272,204,3,102,173,130,144,HP12H7917,OK
UK9,UK9.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\UK9.jpg,UK9.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\UK9.xml,UK06J3953,UK,272,363,3,96,173,334,353,UK06J3953,OK
DN2,DN2.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DN2.jpg,DN2.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DN2.xml,DN09J1548,DN,272,136,3,102,148,107,116,DN09J1548,OK
JH16,JH16.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JH16.jpg,JH16.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JH16.xml,JH10S5378,JH,272,604,3,65,170,313,347,JH10S5378,OK
GJ27,GJ27.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\GJ27.jpg,GJ27.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\GJ27.xml,GJ18BK6705,GJ,272,204,3,107,160,144,157,GJ18BK6705,OK
ML26,ML26.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML26.jpg,ML26.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML26.xml,ML068346,ML,272,363,3,93,171,249,271,ML068346,OK
AS16,AS16.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AS16.jpg,AS16.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AS16.xml,AS01AL3746,AS,271,325,3,80,172,240,261,AS01AL3746,OK
ML1,ML1.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML1.jpg,ML1.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML1.xml,ML05F6894,ML,271,129,3,93,165,65,82,ML05F6894,OK
SK4,SK4.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\SK4.jpg,SK4.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\SK4.xml,SK01PA4521,SK,272,363,3,190,247,274,306,SK01PA4521,OK
UP29,UP29.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\UP29.jpg,UP29.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\UP29.xml,UP14AF3804,UP,272,605,3,80,167,309,329,UP14AF3804,OK
UP22,UP22.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\UP22.jpg,UP22.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\UP22.xml,UP11AY0646,UP,272,363,3,106,186,280,294,UP11AY0646,OK
AP24,AP24.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AP24.jpg,AP24.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AP24.xml,AP07AD5555,AP,272,363,3,90,183,265,285,AP07AD5555,OK
AR7,AR7.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AR7.jpg,AR7.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AR7.xml,AR02A7116,AR,272,154,3,86,163,57,75,AR02A7116,OK
WB6,WB6.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\WB6.jpg,WB6.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\WB6.xml,WB02AH4655,WB,272,363,3,108,181,247,266,WB02AH4655,OK
UP26,UP26.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\UP26.jpg,UP26.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\UP26.xml,UP14AX9754,UP,272,363,3,48,103,199,214,UP14AX9754,OK
BR10,BR10.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\BR10.jpg,BR10.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\BR10.xml,BR32PA6558,BR,272,363,3,112,192,235,255,BR32PA6558,OK
PB25,PB25.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PB25.jpg,PB25.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PB25.xml,PB10CK5005,PB,272,363,3,124,185,232,246,PB10CK5005,OK
AP8,AP8.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AP8.jpg,AP8.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AP8.xml,AP16DP7065,AP,272,366,3,100,172,220,237,AP16DP7065,OK
MP11,MP11.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\MP11.jpg,MP11.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\MP11.xml,MP07CB8897,MP,272,292,3,92,186,201,228,MP07CB8897,OK
MH16,MH16.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\MH16.jpg,MH16.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\MH16.xml,MH12GR862,MH,272,327,3,106,171,245,264,MH12GR862,OK
JK11,JK11.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JK11.jpg,JK11.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JK11.xml,JK03D7750,JK,272,593,3,94,164,340,358,JK03D7750,OK
JH10,JH10.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JH10.jpg,JH10.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JH10.xml,JH02AD2533,JH,272,604,3,123,173,289,304,JH02AD2533,OK
AR4,AR4.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AR4.jpg,AR4.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AR4.xml,AR01C5723,AR,272,327,3,95,191,270,290,AR01C5723,OK
CH7,CH7.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\CH7.jpg,CH7.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\CH7.xml,CH01AL4920,CH,272,204,3,96,204,160,186,CH01AL4920,OK
OD16,OD16.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\OD16.jpg,OD16.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\OD16.xml,OR14U8730,OR,272,604,3,83,171,331,351,OR14U8730,OK
TR7,TR7.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TR7.jpg,TR7.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TR7.xml,TR03F0375,TR,272,153,3,154,198,106,137,TR03F0375,OK
TN3,TN3.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TN3.jpg,TN3.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TN3.xml,TN02AU9295,TN,272,590,3,88,184,306,330,TN02AU9295,OK
AP29,AP29.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AP29.jpg,AP29.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AP29.xml,AP31DF2833,AP,269,141,3,105,183,1,16,AP31DF2833,OK
DN6,DN6.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DN6.jpg,DN6.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DN6.xml,DN0901438,DN,272,153,3,74,130,70,83,DN0901438,OK
JH19,JH19.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JH19.jpg,JH19.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JH19.xml,JH05Y9636,JH,271,132,3,109,191,77,94,JH05Y9636,OK
PY13,PY13.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PY13.jpg,PY13.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PY13.xml,PY01CG2929,PY,272,363,3,96,177,291,311,PY01CG2929,OK
BR5,BR5.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\BR5.jpg,BR5.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\BR5.xml,BR01BE0777,BR,272,363,3,100,169,297,311,BR01BE0777,OK
CG4,CG4.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\CG4.jpg,CG4.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\CG4.xml,CG04HV7009,CG,272,153,3,104,175,140,153,CG04HV7009,OK
HR6,HR6.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HR6.jpg,HR6.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HR6.xml,HR26DJ8832,HR,272,363,3,102,172,266,282,HR26DJ8832,OK
PB8,PB8.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PB8.jpg,PB8.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PB8.xml,PB10CQ0006,PB,272,363,3,89,175,242,263,PB10CQ0006,OK
DL15,DL15.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DL15.jpg,DL15.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DL15.xml,DL8CZ7230,DL,272,292,3,164,226,162,189,DL8CZ7230,OK
CG9,CG9.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\CG9.jpg,CG9.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\CG9.xml,CG04HC4887,CG,272,363,3,86,182,196,220,CG04HC4887,OK
GJ29,GJ29.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\GJ29.jpg,GJ29.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\GJ29.xml,GJ01RM3413,GJ,272,204,3,105,165,140,153,GJ01RM3413,OK
AP41,AP41.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AP41.jpg,AP41.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AP41.xml,AP5CG6320,AP,271,327,3,79,190,265,290,AP5CG6320,OK
PY7,PY7.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PY7.jpg,PY7.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PY7.xml,PY036993,PY,272,364,3,116,188,312,331,PY036993,OK
PY15,PY15.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PY15.jpg,PY15.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PY15.xml,PY05A8339,PY,272,342,3,101,170,225,241,PY05A8339,OK
AS6,AS6.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AS6.jpg,AS6.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AS6.xml,AS12S6951,AS,204,204,3,17,68,154,176,AS12S6951,OK
WB26,WB26.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\WB26.jpg,WB26.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\WB26.xml,WB02A03017,WB,272,186,3,30,80,120,143,WB02A03017,OK
HR18,HR18.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HR18.jpg,HR18.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HR18.xml,HR26DM2296,HR,272,605,3,96,164,333,352,HR26DM2296,OK
MH6,MH6.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\MH6.jpg,MH6.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\MH6.xml,MH47N0712,MH,272,363,3,111,173,225,240,MH47N0712,OK
OD4,OD4.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\OD4.jpg,OD4.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\OD4.xml,OD02C2836,OD,272,586,3,124,219,328,350,OD02C2836,OK
JK31,JK31.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JK31.jpg,JK31.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JK31.xml,JK03A8042,JK,272,204,3,105,159,142,153,JK03A8042,OK
UP23,UP23.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\UP23.jpg,UP23.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\UP23.xml,UP78ED0449,UP,272,365,3,96,165,184,198,UP78ED0449,OK
JH14,JH14.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JH14.jpg,JH14.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JH14.xml,JH10BV1496,JH,272,364,3,100,182,276,293,JH10BV1496,OK
MH24,MH24.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\MH24.jpg,MH24.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\MH24.xml,MH04HF5092,MH,272,229,3,90,178,173,190,MH04HF5092,OK
DL18,DL18.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DL18.jpg,DL18.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DL18.xml,DL1CS8739,DL,272,363,3,98,167,217,233,DL1CS8739,OK
HP9,HP9.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HP9.jpg,HP9.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HP9.xml,HP23A6365,HP,272,297,3,86,160,194,218,HP23A6365,OK
OD17,OD17.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\OD17.jpg,OD17.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\OD17.xml,OD14B7432,OD,272,204,3,101,149,140,152,OD14B7432,OK
ML18,ML18.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML18.jpg,ML18.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML18.xml,ML10B4503,ML,272,604,3,69,163,417,444,ML10B4503,OK
GA5,GA5.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\GA5.jpg,GA5.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\GA5.xml,GA01E5947,GA,272,204,3,100,187,155,172,GA01E5947,OK
AP3,AP3.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AP3.jpg,AP3.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AP3.xml,AP2D4014,AP,272,363,3,175,249,273,320,AP2D4014,OK
PB14,PB14.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\PB14.jpg,PB14.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\PB14.xml,PB10EH0164,PB,272,363,3,111,202,261,280,PB10EH0164,OK
ML22,ML22.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\ML22.jpg,ML22.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\ML22.xml,ML1032811,ML,272,363,3,106,163,196,211,ML1032811,OK
GJ28,GJ28.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\GJ28.jpg,GJ28.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\GJ28.xml,GJ05JB6589,GJ,272,204,3,121,183,136,163,GJ05JB6589,OK
JK32,JK32.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JK32.jpg,JK32.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JK32.xml,JK13C4452,JK,271,220,3,163,211,199,219,JK13C4452,OK
JK19,JK19.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\JK19.jpg,JK19.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\JK19.xml,JK127959,JK,272,363,3,138,203,174,214,JK127959,OK
CG8,CG8.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\CG8.jpg,CG8.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\CG8.xml,CG04H5060,CG,272,363,3,90,181,171,194,CG04H5060,OK
WB16,WB16.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\WB16.jpg,WB16.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\WB16.xml,WB06J9177,WB,272,363,3,96,165,253,269,WB06J9177,OK
KA21,KA21.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\KA21.jpg,KA21.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\KA21.xml,KA28M3589,KA,272,604,3,105,174,319,337,KA28M3589,OK
TS7,TS7.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\TS7.jpg,TS7.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\TS7.xml,TS08EZ9463,TS,272,363,3,100,178,229,247,TS08EZ9463,OK
DL3,DL3.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\DL3.jpg,DL3.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\DL3.xml,DL8CAU6883,DL,272,484,3,118,190,290,307,DL8CAU6883,OK
WB21,WB21.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\WB21.jpg,WB21.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\WB21.xml,WB02W9S3S,WB,272,364,3,34,106,194,220,WB02W9S3S,OK
HR16,HR16.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\HR16.jpg,HR16.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\HR16.xml,HR56B2626,HR,272,363,3,140,224,264,295,HR56B2626,OK
KL11,KL11.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\KL11.jpg,KL11.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\KL11.xml,KL0BBJ5001,KL,272,363,3,92,179,242,261,KL0BBJ5001,OK
WB4,WB4.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\WB4.jpg,WB4.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\WB4.xml,WB02X8795,WB,272,363,3,119,191,268,292,WB02X8795,OK
AP22,AP22.jpg,dataset\NumberPlate_Annotated_Dataset-main\Images\AP22.jpg,AP22.xml,dataset\NumberPlate_Annotated_Dataset-main\Labels\AP22.xml,AP16CH9545,AP,272,363,3,74,172,229,248,AP16CH9545,OK
